Date,Open,High,Low,Close,AdjClose,Volume
2008-11-03,4.880000,5.180000,4.870000,4.930000,4.930000,318900
2008-11-04,5.110000,5.130000,4.780000,4.850000,4.850000,326600
2008-11-05,4.800000,4.800000,4.290000,4.330000,4.330000,567200
2008-11-06,4.280000,4.430000,4.100000,4.110000,4.110000,196400
2008-11-07,4.160000,4.160000,3.740000,3.790000,3.790000,357400
2008-11-10,3.790000,3.970000,3.400000,3.420000,3.420000,422700
2008-11-11,3.470000,3.600000,3.210000,3.410000,3.410000,396500
2008-11-12,3.370000,3.460000,3.060000,3.070000,3.070000,245200
2008-11-13,3.060000,3.160000,2.550000,3.160000,3.160000,553600
2008-11-14,3.100000,3.150000,2.620000,2.620000,2.620000,362900
2008-11-17,2.600000,2.780000,2.550000,2.640000,2.640000,245800
2008-11-18,2.640000,2.740000,2.300000,2.450000,2.450000,442000
2008-11-19,2.450000,2.550000,1.990000,1.990000,1.990000,544800
2008-11-20,2.000000,2.320000,1.930000,1.980000,1.980000,572800
2008-11-21,2.070000,2.190000,1.800000,2.180000,2.180000,488200
2008-11-24,2.220000,2.500000,2.100000,2.450000,2.450000,556700
2008-11-25,2.820000,2.820000,2.440000,2.650000,2.650000,587900
2008-11-26,2.580000,2.810000,2.500000,2.760000,2.760000,360200
2008-11-28,2.730000,2.970000,2.650000,2.860000,2.860000,172500
2008-12-01,2.790000,2.790000,2.390000,2.390000,2.390000,232100
2008-12-02,2.440000,2.760000,2.400000,2.760000,2.760000,364200
2008-12-03,2.680000,2.900000,2.550000,2.720000,2.720000,346200
2008-12-04,2.670000,2.860000,2.450000,2.530000,2.530000,242200
2008-12-05,2.500000,2.860000,2.490000,2.760000,2.760000,610300
2008-12-08,2.960000,3.230000,2.960000,2.990000,2.990000,604800
2008-12-09,2.950000,3.150000,2.570000,2.740000,2.740000,463700
2008-12-10,2.770000,3.090000,2.720000,2.940000,2.940000,348900
2008-12-11,2.910000,3.020000,2.810000,2.910000,2.910000,696800
2008-12-12,2.840000,3.110000,2.800000,3.110000,3.110000,220100
2008-12-15,3.110000,3.220000,2.860000,2.880000,2.880000,367500
2008-12-16,2.960000,3.250000,2.890000,3.250000,3.250000,571900
2008-12-17,3.220000,3.300000,3.210000,3.240000,3.240000,596300
2008-12-18,3.250000,3.360000,3.210000,3.310000,3.310000,541100
