Date,Open,High,Low,Close,Adj Close,Volume
2008-11-03,3.170000,3.360000,2.960000,3.340000,3.340000,128600
2008-11-04,3.160000,3.340000,2.750000,3.010000,3.010000,493700
2008-11-05,2.950000,2.980000,2.420000,2.470000,2.470000,429400
2008-11-06,2.500000,2.500000,2.320000,2.430000,2.430000,162900
2008-11-07,2.500000,2.520000,2.300000,2.340000,2.340000,114200
2008-11-10,2.400000,2.400000,1.940000,1.940000,1.940000,298900
2008-11-11,1.980000,1.980000,1.690000,1.700000,1.700000,226900
2008-11-12,1.700000,1.700000,1.150000,1.430000,1.430000,1046400
2008-11-13,1.980000,2.090000,1.520000,2.050000,2.050000,662100
2008-11-14,2.000000,2.000000,1.710000,1.710000,1.710000,167000
2008-11-17,1.700000,1.960000,1.650000,1.890000,1.890000,240900
2008-11-18,1.910000,1.990000,1.700000,1.920000,1.920000,236700
2008-11-19,1.920000,1.920000,1.690000,1.690000,1.690000,117400
2008-11-20,1.710000,1.870000,1.580000,1.610000,1.610000,177900
2008-11-21,1.640000,1.640000,1.490000,1.540000,1.540000,121300
2008-11-24,1.570000,2.000000,1.570000,1.850000,1.850000,119200
2008-11-25,1.890000,1.890000,1.660000,1.740000,1.740000,89900
2008-11-26,1.690000,1.830000,1.570000,1.830000,1.830000,172300
2008-11-28,1.740000,1.890000,1.700000,1.880000,1.880000,38300
2008-12-01,1.820000,1.820000,1.430000,1.440000,1.440000,147300
2008-12-02,1.480000,1.660000,1.370000,1.660000,1.660000,89100
2008-12-03,1.610000,1.840000,1.500000,1.650000,1.650000,95600
2008-12-04,1.630000,1.690000,1.380000,1.430000,1.430000,181800
2008-12-05,1.410000,1.660000,1.380000,1.650000,1.650000,125100
2008-12-08,1.700000,1.780000,1.570000,1.780000,1.780000,232400
2008-12-09,1.850000,2.040000,1.680000,1.990000,1.990000,223500
2008-12-10,2.010000,2.240000,1.970000,2.110000,2.110000,163000
2008-12-11,2.080000,2.160000,1.980000,2.000000,2.000000,149600
2008-12-12,1.990000,2.230000,1.950000,2.230000,2.230000,144900
2008-12-15,2.320000,2.320000,1.900000,1.920000,1.920000,249500
2008-12-16,2.040000,2.040000,1.840000,2.010000,2.010000,141100
2008-12-17,1.980000,2.150000,1.850000,2.100000,2.100000,265600
2008-12-18,2.050000,2.080000,1.970000,2.000000,2.000000,202600
2008-12-19,2.100000,2.150000,2.000000,2.110000,2.110000,322100
2008-12-22,2.110000,2.140000,1.770000,1.800000,1.800000,134100
2008-12-23,1.850000,1.870000,1.720000,1.740000,1.740000,66600
2008-12-24,1.750000,1.790000,1.650000,1.670000,1.670000,33400
2008-12-26,1.680000,1.830000,1.620000,1.800000,1.800000,54500
2008-12-29,1.800000,1.870000,1.770000,1.850000,1.850000,126700
2008-12-30,1.850000,1.900000,1.740000,1.800000,1.800000,243700
2008-12-31,1.810000,2.090000,1.750000,2.080000,2.080000,279800
2009-01-02,2.080000,2.080000,1.960000,2.000000,2.000000,194400
2009-01-05,2.010000,2.370000,2.000000,2.340000,2.340000,195000
2009-01-06,2.410000,2.810000,2.410000,2.630000,2.630000,250800
2009-01-07,2.620000,2.650000,2.350000,2.430000,2.430000,107900
2009-01-08,2.420000,2.480000,2.370000,2.430000,2.430000,48000
2009-01-09,2.420000,2.520000,2.220000,2.260000,2.260000,147500
2009-01-12,2.270000,2.300000,2.160000,2.160000,2.160000,162900
2009-01-13,2.160000,2.310000,2.160000,2.280000,2.280000,66500
2009-01-14,2.220000,2.250000,1.980000,2.000000,2.000000,230900
2009-01-15,2.000000,2.290000,1.960000,2.290000,2.290000,453000
2009-01-16,2.300000,2.300000,2.050000,2.130000,2.130000,146300
2009-01-20,2.080000,2.080000,1.840000,1.840000,1.840000,153900
2009-01-21,2.010000,2.050000,1.830000,2.040000,2.040000,129400
