Date,Open,High,Low,Close,Adj Close,Volume
2008-11-03,2.610000,3.220000,2.460000,3.160000,3.160000,6726800
2008-11-04,3.350000,3.570000,3.160000,3.400000,3.400000,6006700
2008-11-05,3.220000,3.310000,2.300000,2.360000,2.360000,6658400
2008-11-06,2.270000,2.380000,2.020000,2.100000,2.100000,3568100
2008-11-07,2.290000,2.370000,2.110000,2.230000,2.230000,1521500
2008-11-10,2.360000,2.480000,2.250000,2.420000,2.420000,2281200
2008-11-11,2.390000,2.390000,2.070000,2.150000,2.150000,1868500
2008-11-12,2.050000,2.150000,1.900000,1.900000,1.900000,2947900
2008-11-13,1.150000,1.250000,0.790000,1.050000,1.050000,16247700
2008-11-14,1.090000,1.360000,1.050000,1.140000,1.140000,6434500
2008-11-17,1.150000,1.190000,1.100000,1.140000,1.140000,1718600
2008-11-18,1.140000,1.140000,1.080000,1.140000,1.140000,1894700
2008-11-19,1.140000,1.140000,1.030000,1.040000,1.040000,1597500
2008-11-20,1.000000,1.000000,0.900000,0.940000,0.940000,1905200
2008-11-21,0.980000,1.040000,0.880000,1.040000,1.040000,1394700
2008-11-24,1.050000,1.180000,1.040000,1.160000,1.160000,1563400
2008-11-25,1.120000,1.180000,1.010000,1.040000,1.040000,2326100
2008-11-26,1.010000,1.150000,1.000000,1.130000,1.130000,2158900
2008-11-28,1.110000,1.270000,1.100000,1.270000,1.270000,1102600
2008-12-01,1.250000,1.400000,1.180000,1.360000,1.360000,2011400
2008-12-02,1.350000,1.420000,1.250000,1.330000,1.330000,1391300
2008-12-03,1.260000,1.470000,1.230000,1.450000,1.450000,1668900
2008-12-04,1.400000,1.450000,1.270000,1.270000,1.270000,1397700
2008-12-05,1.310000,1.410000,1.200000,1.380000,1.380000,1421800
2008-12-08,1.400000,1.810000,1.400000,1.750000,1.750000,3292300
2008-12-09,1.780000,1.830000,1.510000,1.650000,1.650000,1794500
2008-12-10,1.670000,1.750000,1.600000,1.690000,1.690000,828300
2008-12-11,1.670000,1.690000,1.460000,1.500000,1.500000,1029100
2008-12-12,1.410000,1.520000,1.360000,1.520000,1.520000,883100
2008-12-15,1.500000,1.570000,1.360000,1.390000,1.390000,962300
