Date,Open,High,Low,Close,Adj Close,Volume
2008-11-03,11.900000,11.950000,11.900000,11.950000,9.422153,300
2008-11-04,11.800000,12.580000,11.800000,12.500000,9.855813,4600
2008-11-05,12.400000,12.400000,12.300000,12.350000,9.737539,700
2008-11-06,12.200000,12.200000,11.550000,11.550000,9.106771,3900
2008-11-07,11.510000,11.510000,11.500000,11.500000,9.067346,700
2008-11-10,11.510000,11.610000,11.510000,11.610000,9.154078,500
2008-11-11,11.600000,11.700000,11.370000,11.370000,8.964846,2300
2008-11-12,11.400000,11.400000,11.350000,11.350000,8.949078,800
2008-11-13,10.770000,11.300000,10.770000,11.070000,8.728305,2100
2008-11-14,11.000000,11.000000,11.000000,11.000000,8.673113,100
2008-11-17,10.970000,10.970000,10.970000,10.970000,8.649461,200
2008-11-18,10.870000,10.870000,10.020000,10.050000,7.924074,5900
2008-11-19,10.000000,10.000000,9.350000,9.550000,7.597881,8200
2008-11-20,9.450000,9.700000,8.950000,8.950000,7.120527,30700
2008-11-21,8.850000,9.200000,8.100000,9.000000,7.160304,29300
2008-11-24,8.950000,9.050000,8.850000,8.900000,7.080748,3400
2008-11-25,8.800000,8.870000,8.500000,8.870000,7.056878,4300
2008-11-26,8.500000,9.200000,8.500000,9.150000,7.279642,7200
2008-11-28,9.250000,9.250000,9.250000,9.250000,7.359203,200
2008-12-01,9.250000,9.350000,9.150000,9.150000,7.279642,9200
2008-12-02,9.230000,9.330000,9.230000,9.330000,7.422847,2100
2008-12-03,9.270000,9.530000,9.260000,9.260000,7.367158,4400
2008-12-04,9.250000,9.250000,9.160000,9.160000,7.287601,8100
2008-12-05,9.260000,9.300000,9.120000,9.150000,7.279642,2700
2008-12-08,9.150000,9.150000,8.800000,9.000000,7.160304,9700
2008-12-09,9.050000,9.200000,9.000000,9.100000,7.239864,5900
2008-12-10,9.010000,9.300000,9.010000,9.110000,7.247822,1800
2008-12-11,9.050000,9.150000,9.010000,9.010000,7.168260,9600
2008-12-12,9.000000,9.300000,9.000000,9.300000,7.398983,2900
2008-12-15,9.200000,9.460000,9.200000,9.300000,7.398983,6200
2008-12-16,9.310000,9.420000,9.100000,9.310000,7.406940,3200
2008-12-17,9.310000,9.800000,9.310000,9.790000,7.788824,5500
2008-12-18,9.850000,9.850000,9.350000,9.550000,7.597881,21500
2008-12-19,9.650000,9.850000,9.150000,9.150000,7.279642,4700
2008-12-22,9.050000,9.050000,8.950000,8.950000,7.120527,2500
2008-12-23,9.050000,9.140000,8.300000,8.700000,6.921627,5500
2008-12-24,8.800000,8.900000,8.780000,8.900000,7.080748,1400
2008-12-26,8.900000,9.150000,8.870000,8.870000,7.056878,4700
2008-12-29,8.520000,8.850000,7.880000,8.120000,6.460189,11200
2008-12-30,8.250000,8.290000,8.000000,8.190000,6.515878,14700
2008-12-31,8.200000,8.600000,8.200000,8.600000,6.842070,10800
2009-01-02,8.600000,8.900000,8.500000,8.900000,7.080748,21200
2009-01-05,9.490000,10.410000,8.950000,10.320000,8.210485,6300
2009-01-06,10.400000,10.850000,9.250000,10.750000,8.552587,19200
2009-01-07,10.660000,11.350000,10.550000,11.000000,8.751486,3800
2009-01-08,10.900000,10.990000,10.890000,10.980000,8.735575,3000
2009-01-09,10.420000,10.950000,10.420000,10.950000,8.711702,3900
2009-01-12,10.870000,11.040000,10.850000,10.910000,8.679881,40900
2009-01-13,11.050000,11.130000,9.860000,9.900000,7.876337,40900
2009-01-14,9.820000,9.990000,9.820000,9.940000,7.908160,3800
2009-01-15,9.810000,9.890000,9.240000,9.350000,7.438762,5400
2009-01-16,9.400000,9.400000,9.200000,9.300000,7.398983,4500
2009-01-20,9.400000,9.700000,9.350000,9.350000,7.438762,1600
2009-01-21,9.450000,9.860000,9.450000,9.860000,7.844509,2600
2009-01-22,9.960000,9.960000,9.690000,9.740000,7.749039,2700
2009-01-23,9.650000,9.670000,9.150000,9.530000,7.581968,7300
2009-01-26,9.680000,9.980000,9.570000,9.760000,7.764957,3400
2009-01-27,9.870000,10.080000,9.780000,10.080000,8.019542,1700
2009-01-28,9.930000,10.930000,9.800000,10.780000,8.576454,1800
2009-01-29,10.730000,11.010000,10.330000,10.750000,8.552587,3900
2009-01-30,10.760000,11.360000,10.760000,11.070000,8.807177,2100
2009-02-02,11.250000,11.400000,11.120000,11.120000,8.846957,1200
2009-02-03,11.120000,11.120000,10.760000,10.760000,8.560543,29900
2009-02-04,10.610000,10.610000,9.670000,10.210000,8.122970,2800
2009-02-05,10.310000,10.610000,10.310000,10.610000,8.441207,300
2009-02-06,10.830000,10.920000,10.830000,10.920000,8.687840,2700
2009-02-09,10.980000,11.640000,10.980000,11.640000,9.260660,1400
2009-02-10,11.640000,12.430000,11.440000,11.440000,9.101542,2900
2009-02-11,11.240000,12.030000,11.000000,12.030000,9.570943,3300
2009-02-12,11.830000,11.830000,11.300000,11.450000,9.109501,1800
2009-02-13,11.290000,11.600000,10.260000,11.350000,9.029942,5900
2009-02-17,11.150000,11.150000,10.350000,10.650000,8.473028,1700
2009-02-18,10.800000,10.800000,10.800000,10.800000,8.592369,100
2009-02-19,10.770000,10.770000,10.750000,10.750000,8.552587,3400
2009-02-20,10.820000,10.820000,9.990000,10.590000,8.425293,12500
2009-02-23,10.300000,10.350000,10.000000,10.350000,8.304930,1300
2009-02-24,10.050000,10.700000,9.750000,10.500000,8.425294,5500
2009-02-25,10.690000,10.890000,10.300000,10.760000,8.633921,4100
2009-02-26,10.560000,10.810000,10.080000,10.810000,8.674040,3800
2009-02-27,10.810000,11.340000,10.810000,11.200000,8.986979,1900
2009-03-02,11.110000,11.110000,10.150000,10.950000,8.786375,6700
2009-03-03,10.690000,10.690000,9.450000,10.650000,8.545654,7300
2009-03-04,10.650000,10.850000,10.650000,10.850000,8.706137,1000
2009-03-05,10.850000,10.850000,10.450000,10.450000,8.385174,2600
2009-03-06,10.650000,10.960000,10.000000,10.000000,8.024090,5800
2009-03-09,9.800000,9.800000,8.110000,8.240000,6.611850,11000
2009-03-10,8.300000,9.000000,8.300000,8.380000,6.724187,6700
2009-03-11,8.400000,9.120000,8.200000,9.010000,7.229702,5300
2009-03-12,8.910000,8.910000,8.610000,8.710000,6.988983,2400
2009-03-13,8.810000,8.850000,8.750000,8.850000,7.101321,500
2009-03-16,9.000000,9.990000,9.000000,9.530000,7.646957,5800
2009-03-17,9.650000,9.950000,9.650000,9.880000,7.927801,900
2009-03-18,9.760000,9.760000,9.540000,9.540000,7.654979,5000
2009-03-19,9.540000,9.560000,9.380000,9.380000,7.526594,1900
2009-03-20,9.280000,9.280000,9.160000,9.160000,7.350066,500
2009-03-23,9.260000,10.110000,9.260000,9.900000,7.943849,6700
2009-03-24,9.770000,10.000000,9.760000,10.000000,8.024090,1900
2009-03-25,10.100000,10.290000,9.760000,9.840000,7.895704,2900
2009-03-26,9.880000,10.050000,9.850000,10.000000,8.024090,5800
2009-03-27,9.900000,10.000000,9.900000,9.930000,7.967921,400
2009-03-30,9.910000,10.150000,9.900000,10.150000,8.144448,1100
2009-03-31,10.200000,10.980000,10.200000,10.900000,8.746256,5100
2009-04-01,10.650000,10.950000,10.350000,10.600000,8.505533,4200
2009-04-02,10.750000,11.880000,10.750000,10.750000,8.625896,5700
2009-04-03,10.750000,11.200000,10.750000,10.750000,8.625896,1700
2009-04-06,10.750000,10.750000,10.450000,10.750000,8.625896,600
2009-04-07,10.600000,10.600000,10.500000,10.500000,8.425294,200
2009-04-08,10.560000,10.700000,10.500000,10.510000,8.433318,1700
2009-04-09,10.510000,12.440000,10.500000,11.760000,9.436329,39100
2009-04-13,11.690000,12.000000,11.540000,11.860000,9.516568,6500
2009-04-14,11.760000,12.600000,11.760000,12.010000,9.636930,1800
2009-04-15,11.960000,12.560000,11.810000,12.460000,9.998016,4200
2009-04-16,12.310000,12.460000,11.340000,12.150000,9.749268,4300
2009-04-17,12.240000,12.240000,12.000000,12.150000,9.749268,500
2009-04-20,12.000000,12.000000,11.500000,11.500000,9.227701,2800
2009-04-21,11.400000,11.550000,10.870000,11.250000,9.027101,6200
2009-04-22,11.250000,11.250000,11.250000,11.250000,9.027101,0
2009-04-23,10.750000,10.750000,10.750000,10.750000,8.625896,1400
2009-04-24,10.700000,10.700000,10.700000,10.700000,8.585775,600
2009-04-27,10.700000,10.700000,10.700000,10.700000,8.585775,200
2009-04-28,10.700000,10.700000,10.700000,10.700000,8.585775,0
2009-04-29,10.820000,11.070000,10.820000,10.950000,8.786375,5000
2009-04-30,11.070000,11.430000,11.070000,11.430000,9.171534,4200
2009-05-01,11.430000,11.430000,11.430000,11.430000,9.171534,0
2009-05-04,11.550000,11.550000,11.430000,11.500000,9.227701,2200
2009-05-05,11.500000,11.500000,11.450000,11.500000,9.227701,2300
2009-05-06,11.610000,12.000000,11.510000,12.000000,9.628909,1900
2009-05-07,12.000000,12.000000,11.700000,11.850000,9.508547,2700
2009-05-08,12.000000,13.790000,12.000000,13.340000,10.704133,9900
2009-05-11,13.190000,13.340000,12.350000,13.330000,10.696111,2700
2009-05-12,13.180000,13.560000,12.680000,13.560000,10.880667,7100
2009-05-13,13.410000,13.410000,12.850000,12.960000,10.399218,900
2009-05-14,12.960000,12.960000,12.960000,12.960000,10.399218,0
2009-05-15,13.000000,13.000000,12.850000,12.850000,10.310956,1200
2009-05-18,13.000000,13.610000,13.000000,13.450000,10.792399,1500
2009-05-19,13.600000,14.200000,13.600000,13.900000,11.153482,1800
2009-05-20,13.960000,14.260000,13.960000,14.240000,11.500769,1300
2009-05-21,14.090000,14.090000,13.090000,13.240000,10.693127,5600
2009-05-22,13.240000,13.240000,13.240000,13.240000,10.693127,0
2009-05-26,12.880000,13.640000,12.880000,13.640000,11.016186,7600
2009-05-27,13.500000,14.250000,13.470000,14.250000,11.508847,13100
2009-05-28,14.100000,14.100000,13.210000,14.000000,11.306934,17400
2009-05-29,13.940000,14.080000,13.500000,13.500000,10.903115,3100
2009-06-01,13.850000,14.150000,13.850000,14.000000,11.306934,2600
2009-06-02,14.000000,15.560000,13.870000,15.260000,12.324557,13700
2009-06-03,15.010000,15.780000,14.780000,15.750000,12.720302,13200
2009-06-04,16.000000,16.930000,15.380000,15.600000,12.599156,11700
2009-06-05,15.560000,15.560000,15.310000,15.500000,12.518393,4000
2009-06-08,15.060000,15.440000,14.740000,14.990000,12.106494,4100
2009-06-09,15.250000,16.469999,15.250000,16.000000,12.922211,13000
2009-06-10,16.230000,16.700001,16.000000,16.350000,13.204883,14200
2009-06-11,16.299999,16.400000,15.750000,15.750000,12.720302,6800
2009-06-12,15.750000,16.059999,15.560000,15.800000,12.760684,3800
2009-06-15,15.550000,16.330000,15.290000,15.290000,12.348787,8300
2009-06-16,15.340000,15.370000,14.700000,15.000000,12.114573,2600
2009-06-17,15.000000,15.800000,14.730000,15.800000,12.760684,19600
2009-06-18,15.780000,16.600000,15.700000,16.500000,13.326028,26500
2009-06-19,16.600000,16.730000,16.030001,16.730000,13.511786,8400
2009-06-22,16.690001,17.190001,16.059999,16.670000,13.463324,14700
2009-06-23,16.770000,16.770000,15.940000,16.190001,13.075662,13600
2009-06-24,16.190001,16.190001,15.850000,16.000000,12.922211,10300
2009-06-25,16.200001,16.500000,16.000000,16.270000,13.140273,12900
2009-06-26,16.450001,17.480000,16.450001,17.480000,14.117514,482700
2009-06-29,17.049999,17.049999,15.900000,16.750000,13.527940,46200
2009-06-30,17.000000,17.200001,16.500000,16.500000,13.326028,14200
2009-07-01,16.650000,17.750000,16.139999,16.360001,13.212962,21200
2009-07-02,16.440001,16.450001,15.300000,16.049999,12.962590,8000
2009-07-06,16.299999,17.600000,16.100000,16.629999,13.431025,9500
2009-07-07,17.120001,17.120001,16.430000,16.790001,13.560248,14700
2009-07-08,16.920000,17.700001,16.600000,17.000000,13.729852,34200
2009-07-09,17.100000,17.100000,16.450001,16.450001,13.285648,14200
2009-07-10,16.410000,16.490000,16.100000,16.350000,13.204883,5600
2009-07-13,16.420000,17.500000,16.420000,17.400000,14.052907,12400
2009-07-14,17.340000,17.340000,16.719999,17.250000,13.931760,9200
2009-07-15,17.389999,18.420000,17.389999,18.420000,14.876695,10900
2009-07-16,18.340000,18.350000,17.209999,18.280001,14.763621,18500
2009-07-17,18.330000,18.330000,17.719999,18.000000,14.537484,10900
2009-07-20,18.000000,18.000000,17.549999,18.000000,14.537484,4500
2009-07-21,17.969999,18.000000,17.780001,17.900000,14.456722,7100
2009-07-22,17.770000,18.000000,17.469999,17.950001,14.497108,10900
2009-07-23,17.750000,18.000000,17.530001,17.959999,14.505184,18800
2009-07-24,17.809999,18.000000,17.510000,18.000000,14.537484,8000
2009-07-27,17.940001,18.010000,17.700001,18.010000,14.545563,12600
2009-07-28,17.980000,18.000000,17.500000,17.719999,14.311349,11900
2009-07-29,17.719999,17.719999,17.000000,17.150000,13.850992,22700
2009-07-30,17.250000,18.000000,17.250000,17.850000,14.416343,10000
2009-07-31,17.900000,17.930000,17.780001,17.840000,14.408269,5700
2009-08-03,17.940001,17.940001,17.790001,17.900000,14.456722,6600
2009-08-04,17.750000,18.000000,17.750000,18.000000,14.537484,6300
2009-08-05,17.500000,17.730000,17.370001,17.370001,14.028678,16700
2009-08-06,17.370001,17.440001,16.900000,16.990000,13.721772,8400
2009-08-07,17.000000,17.000000,16.700001,16.830000,13.592550,10300
2009-08-10,16.719999,16.780001,16.530001,16.780001,13.552171,1500
2009-08-11,16.620001,16.850000,16.620001,16.709999,13.495633,2800
2009-08-12,16.770000,17.830000,16.770000,17.830000,14.400187,18300
2009-08-13,17.799999,17.950001,17.100000,17.410000,14.060980,8000
2009-08-14,17.559999,17.559999,16.209999,16.219999,13.099892,5400
2009-08-17,16.190001,16.309999,15.900000,16.180000,13.067588,3600
2009-08-18,16.200001,17.590000,16.200001,17.500000,14.133667,13000
2009-08-19,17.410000,17.990000,16.809999,17.740000,14.401565,6400
2009-08-20,17.780001,17.780001,17.410000,17.570000,14.263555,4200
2009-08-21,17.500000,17.520000,17.070000,17.299999,14.044368,18400
2009-08-24,17.280001,17.420000,17.180000,17.420000,14.141789,6900
2009-08-25,17.320000,18.000000,17.260000,17.900000,14.531459,7700
2009-08-26,17.950001,17.980000,17.559999,17.980000,14.596401,6100
2009-08-27,17.879999,17.990000,17.520000,17.750000,14.409680,3900
2009-08-28,17.740000,17.740000,16.600000,16.600000,13.476100,7000
2009-08-31,16.840000,17.190001,16.360001,16.490000,13.386802,11900
2009-09-01,16.400000,17.120001,15.970000,15.970000,12.964655,11000
2009-09-02,16.000000,16.500000,16.000000,16.500000,13.394918,2800
2009-09-03,16.459999,16.610001,15.860000,16.090000,13.062074,2500
2009-09-04,16.000000,16.600000,15.860000,16.040001,13.021484,7500
2009-09-08,16.100000,16.250000,15.530000,15.670000,12.721110,5300
2009-09-09,15.700000,15.970000,15.380000,15.930000,12.932185,6300
2009-09-10,15.970000,16.450001,15.670000,16.370001,13.289383,3700
2009-09-11,16.340000,16.790001,16.330000,16.420000,13.329975,2200
2009-09-14,16.459999,16.650000,16.010000,16.480000,13.378681,6600
2009-09-15,16.420000,16.620001,16.420000,16.610001,13.484220,5400
2009-09-16,16.459999,16.730000,16.230000,16.730000,13.581638,8600
2009-09-17,16.730000,17.030001,16.730000,17.030001,13.825178,1300
2009-09-18,16.740000,17.040001,16.549999,16.549999,13.435510,18500
2009-09-21,16.719999,16.790001,16.620001,16.650000,13.516687,4800
2009-09-22,16.740000,16.889999,16.549999,16.580000,13.459867,3000
2009-09-23,16.629999,16.740000,16.440001,16.450001,13.354326,3100
2009-09-24,16.500000,16.600000,15.970000,16.150000,13.110783,8800
2009-09-25,16.180000,16.350000,15.880000,16.350000,13.273147,3300
2009-09-28,16.280001,16.629999,16.209999,16.440001,13.346210,7400
2009-09-29,16.290001,16.350000,16.200001,16.299999,13.232558,1600
2009-09-30,16.260000,16.260000,15.660000,15.900000,12.907828,15200
2009-10-01,15.930000,15.930000,15.510000,15.510000,12.591225,9200
2009-10-02,15.410000,15.750000,15.410000,15.650000,12.704876,3000
2009-10-05,15.650000,15.800000,14.670000,14.770000,11.990480,7700
2009-10-06,14.850000,15.070000,14.130000,14.510000,11.779413,6000
2009-10-07,15.480000,15.480000,14.000000,14.350000,11.649521,8600
2009-10-08,14.440000,14.760000,14.160000,14.400000,11.690109,12100
2009-10-09,14.440000,14.980000,14.440000,14.980000,12.160963,3800
2009-10-12,14.750000,15.660000,14.750000,15.660000,12.712996,4600
2009-10-13,15.610000,15.890000,15.260000,15.890000,12.899714,9300
2009-10-14,16.020000,17.350000,16.020000,17.350000,14.084959,15400
2009-10-15,17.260000,17.570000,16.910000,16.910000,13.727762,8500
2009-10-16,16.870001,16.879999,16.670000,16.680000,13.541044,4600
2009-10-19,16.760000,16.760000,16.120001,16.600000,13.476100,7900
2009-10-20,16.549999,16.549999,16.309999,16.309999,13.240673,2200
2009-10-21,16.250000,17.120001,15.400000,15.490000,12.574986,15100
2009-10-22,15.390000,15.630000,15.230000,15.420000,12.518161,7300
