Date,Open,High,Low,Close,Adj Close,Volume
2008-11-03,5.350000,5.430000,5.090000,5.330000,5.330000,135400
2008-11-04,5.440000,5.440000,4.700000,4.730000,4.730000,221100
2008-11-05,4.660000,4.970000,4.340000,4.370000,4.370000,178700
2008-11-06,4.340000,4.690000,4.330000,4.550000,4.550000,426900
2008-11-07,4.610000,4.690000,4.430000,4.630000,4.630000,128100
2008-11-10,4.730000,4.830000,4.530000,4.550000,4.550000,155800
2008-11-11,4.500000,4.750000,4.440000,4.500000,4.500000,166500
2008-11-12,4.430000,4.690000,4.150000,4.160000,4.160000,103800
2008-11-13,4.150000,4.550000,3.840000,4.350000,4.350000,141500
2008-11-14,4.260000,4.260000,3.900000,3.930000,3.930000,88300
2008-11-17,3.890000,4.080000,3.630000,3.680000,3.680000,122600
2008-11-18,3.710000,3.790000,3.420000,3.530000,3.530000,106500
2008-11-19,3.510000,3.630000,3.160000,3.180000,3.180000,103800
2008-11-20,3.160000,3.290000,2.830000,2.880000,2.880000,98500
2008-11-21,2.940000,3.010000,2.500000,2.880000,2.880000,206400
2008-11-24,2.940000,3.700000,2.800000,3.480000,3.480000,188400
2008-11-25,3.530000,4.010000,3.400000,4.010000,4.010000,227800
2008-11-26,3.890000,3.970000,3.700000,3.870000,3.870000,204000
2008-11-28,3.810000,3.950000,3.610000,3.730000,3.730000,44600
2008-12-01,3.610000,3.610000,2.970000,3.020000,3.020000,117700
2008-12-02,3.090000,3.240000,3.020000,3.230000,3.230000,85700
2008-12-03,3.140000,3.410000,3.000000,3.260000,3.260000,121300
2008-12-04,3.210000,3.480000,3.100000,3.140000,3.140000,123000
2008-12-05,3.100000,3.280000,2.900000,3.100000,3.100000,256400
2008-12-08,3.120000,3.320000,2.890000,3.280000,3.280000,316400
2008-12-09,3.250000,3.410000,3.130000,3.270000,3.270000,286200
2008-12-10,3.330000,3.500000,3.240000,3.420000,3.420000,168200
2008-12-11,3.370000,3.480000,3.150000,3.210000,3.210000,230600
2008-12-12,3.120000,3.400000,3.080000,3.360000,3.360000,107000
2008-12-15,3.390000,3.390000,3.010000,3.050000,3.050000,326900
2008-12-16,3.120000,3.610000,3.010000,3.440000,3.440000,321900
2008-12-17,3.390000,3.450000,3.110000,3.390000,3.390000,141900
2008-12-18,3.400000,3.490000,3.210000,3.310000,3.310000,134000
2008-12-19,3.410000,3.590000,3.120000,3.470000,3.470000,416300
2008-12-22,3.440000,3.490000,3.120000,3.300000,3.300000,435900
2008-12-23,3.340000,3.470000,3.200000,3.470000,3.470000,210200
2008-12-24,3.460000,3.490000,3.320000,3.400000,3.400000,52400
2008-12-26,3.400000,3.460000,3.330000,3.440000,3.440000,86500
2008-12-29,3.440000,3.470000,3.260000,3.380000,3.380000,302400
2008-12-30,3.410000,3.620000,3.300000,3.550000,3.550000,226600
2008-12-31,3.560000,3.830000,3.510000,3.820000,3.820000,145700
2009-01-02,3.830000,3.960000,3.690000,3.840000,3.840000,66300
2009-01-05,3.970000,3.970000,3.780000,3.880000,3.880000,72200
2009-01-06,3.940000,4.170000,3.890000,4.070000,4.070000,78200
2009-01-07,4.010000,4.110000,3.800000,3.920000,3.920000,84700
2009-01-08,3.840000,4.180000,3.770000,4.060000,4.060000,79900
2009-01-09,4.050000,4.090000,3.790000,3.790000,3.790000,153400
2009-01-12,3.810000,3.870000,3.500000,3.560000,3.560000,112700
2009-01-13,3.550000,3.640000,3.410000,3.450000,3.450000,145500
2009-01-14,3.400000,3.520000,3.100000,3.170000,3.170000,218600
2009-01-15,3.120000,3.700000,3.030000,3.700000,3.700000,126000
2009-01-16,3.650000,3.710000,3.390000,3.630000,3.630000,108000
2009-01-20,3.560000,3.720000,3.340000,3.340000,3.340000,99500
2009-01-21,3.380000,3.810000,3.360000,3.790000,3.790000,90300
2009-01-22,3.710000,3.750000,3.360000,3.480000,3.480000,60400
2009-01-23,3.330000,3.510000,3.240000,3.450000,3.450000,138800
2009-01-26,3.470000,3.680000,3.330000,3.540000,3.540000,67900
2009-01-27,3.540000,3.560000,3.440000,3.450000,3.450000,56400
2009-01-28,3.500000,3.750000,3.470000,3.690000,3.690000,68500
2009-01-29,3.270000,3.270000,2.790000,3.030000,3.030000,381700
2009-01-30,2.930000,2.970000,2.500000,2.510000,2.510000,719800
2009-02-02,2.520000,2.570000,2.230000,2.380000,2.380000,441800
2009-02-03,2.460000,2.570000,2.380000,2.440000,2.440000,275500
2009-02-04,2.450000,2.470000,2.320000,2.390000,2.390000,146300
2009-02-05,2.380000,2.450000,2.300000,2.450000,2.450000,154700
2009-02-06,2.450000,2.580000,2.410000,2.530000,2.530000,169300
2009-02-09,2.580000,2.580000,2.450000,2.510000,2.510000,108600
2009-02-10,2.480000,2.520000,2.290000,2.310000,2.310000,91000
2009-02-11,2.340000,2.350000,2.280000,2.300000,2.300000,114600
2009-02-12,2.280000,2.350000,2.280000,2.320000,2.320000,107500
2009-02-13,2.310000,2.440000,2.310000,2.390000,2.390000,83400
