Date,Open,High,Low,Close,Adj Close,Volume
2008-11-03,15.400000,16.170000,15.180000,15.590000,15.321534,414700
2008-11-04,15.910000,16.160000,15.090000,15.480000,15.213428,463700
2008-11-05,15.130000,15.410000,13.590000,13.630000,13.395287,771800
2008-11-06,13.070000,13.240000,11.190000,12.190000,11.980083,1346400
2008-11-07,12.250000,12.830000,12.000000,12.700000,12.481301,538600
2008-11-10,12.890000,13.010000,11.200000,11.420000,11.223344,519100
2008-11-11,11.370000,11.370000,10.360000,10.440000,10.260219,760800
2008-11-12,10.180000,10.340000,8.980000,8.990000,8.959628,894700
2008-11-13,9.050000,9.330000,8.240000,9.070000,9.039358,1402300
2008-11-14,9.000000,9.340000,8.770000,8.870000,8.840034,985900
2008-11-17,8.590000,8.900000,8.260000,8.300000,8.271959,894400
2008-11-18,8.470000,8.650000,7.860000,8.020000,7.992906,893300
2008-11-19,8.030000,8.170000,7.000000,7.020000,6.996284,625600
2008-11-20,6.940000,7.000000,5.860000,5.940000,5.919932,939100
2008-11-21,6.090000,6.480000,5.700000,5.990000,5.969763,1180600
2008-11-24,6.060000,6.210000,5.590000,5.780000,5.760473,1173600
2008-11-25,5.890000,6.000000,5.540000,5.780000,5.760473,1237500
2008-11-26,5.610000,6.430000,5.600000,6.420000,6.398311,686400
2008-11-28,6.350000,6.570000,6.260000,6.430000,6.408277,336500
2008-12-01,6.340000,6.600000,5.650000,5.680000,5.660810,862700
2008-12-02,5.860000,6.560000,5.750000,6.560000,6.537838,734900
2008-12-03,6.490000,7.270000,6.260000,7.180000,7.155743,1011500
2008-12-04,6.960000,7.460000,6.800000,7.040000,7.016216,826900
2008-12-05,7.000000,7.380000,6.610000,7.380000,7.355068,527200
2008-12-08,7.690000,8.180000,7.270000,7.520000,7.494595,696800
2008-12-09,7.430000,8.130000,7.320000,7.710000,7.683953,829800
2008-12-10,7.710000,7.880000,7.360000,7.700000,7.673986,337500
2008-12-11,7.600000,7.700000,6.520000,6.620000,6.597635,328000
2008-12-12,6.540000,7.120000,6.420000,7.020000,6.996284,370700
2008-12-15,7.240000,7.240000,6.000000,6.180000,6.159122,438400
2008-12-16,6.410000,7.030000,6.350000,7.000000,6.976351,640500
2008-12-17,6.870000,7.140000,6.700000,6.770000,6.747128,499500
2008-12-18,6.810000,7.150000,6.400000,6.560000,6.537838,366300
2008-12-19,6.720000,7.060000,6.250000,6.390000,6.368412,1049300
2008-12-22,6.390000,6.740000,6.020000,6.260000,6.238852,750600
2008-12-23,6.470000,6.570000,6.000000,6.040000,6.019595,543200
2008-12-24,6.050000,6.140000,5.580000,5.890000,5.870101,481500
2008-12-26,5.950000,6.610000,5.900000,6.470000,6.448142,355000
2008-12-29,6.620000,6.650000,5.900000,6.020000,5.999662,353200
2008-12-30,6.100000,6.550000,6.020000,6.540000,6.517905,342800
2008-12-31,6.590000,7.140000,6.590000,7.050000,7.026183,482600
2009-01-02,7.120000,7.250000,6.810000,7.170000,7.145777,454400
2009-01-05,7.120000,7.140000,6.770000,6.960000,6.936486,401000
2009-01-06,7.090000,7.770000,7.090000,7.590000,7.564358,680500
2009-01-07,7.520000,7.540000,6.920000,6.990000,6.966385,504400
2009-01-08,7.070000,7.330000,6.960000,7.300000,7.275338,425600
2009-01-09,7.290000,7.420000,6.600000,6.610000,6.587669,362700
2009-01-12,6.500000,6.500000,5.520000,5.640000,5.620946,1152900
2009-01-13,5.600000,5.790000,5.460000,5.600000,5.581081,726100
2009-01-14,5.600000,5.600000,5.050000,5.100000,5.082770,818800
2009-01-15,4.980000,5.150000,4.660000,5.140000,5.122635,861500
2009-01-16,5.300000,5.420000,4.720000,4.890000,4.873479,674400
2009-01-20,4.850000,4.940000,4.540000,4.540000,4.524662,531400
2009-01-21,4.590000,4.810000,4.510000,4.750000,4.733953,678000
2009-01-22,4.810000,4.870000,4.670000,4.770000,4.753885,574600
2009-01-23,4.640000,4.810000,4.590000,4.700000,4.684122,367700
2009-01-26,4.670000,4.890000,4.580000,4.660000,4.644257,458500
