Date,Open,High,Low,Close,AdjClose,Volume
2008-11-03,8.610000,8.960000,8.190000,8.270000,7.022393,346900
2008-11-04,8.430000,8.720000,8.280000,8.540000,7.251661,247800
2008-11-05,8.410000,9.010000,8.360000,8.800000,7.472436,514600
2008-11-06,8.660000,8.660000,8.180000,8.210000,6.971445,369100
2008-11-07,8.300000,8.310000,7.720000,7.990000,6.784634,370400
2008-11-10,8.200000,8.250000,7.610000,7.830000,6.648770,352100
2008-11-11,7.710000,7.950000,7.490000,7.620000,6.470451,283800
2008-11-12,7.430000,7.620000,6.850000,6.860000,5.825105,323000
2008-11-13,6.930000,7.620000,6.500000,7.610000,6.461960,611300
2008-11-14,7.510000,7.710000,6.760000,6.840000,5.808122,299500
2008-11-17,6.780000,7.160000,6.620000,6.860000,5.825105,307800
2008-11-18,6.890000,7.160000,6.250000,6.680000,5.672260,360400
2008-11-19,6.720000,6.720000,6.000000,6.010000,5.103335,463300
2008-11-20,5.930000,5.950000,5.400000,5.460000,4.636308,558500
2008-11-21,5.600000,5.600000,5.100000,5.550000,4.712731,570200
2008-11-24,5.560000,6.200000,5.560000,6.020000,5.111827,554400
2008-11-25,6.060000,6.270000,5.880000,6.270000,5.324112,360100
2008-11-26,6.110000,6.930000,6.020000,6.870000,5.833595,404000
2008-11-28,6.840000,7.140000,6.770000,7.020000,5.960967,181800
2008-12-01,6.810000,6.850000,5.920000,5.970000,5.069368,368200
2008-12-02,5.890000,6.630000,5.890000,6.590000,5.595837,672000
2008-12-03,6.420000,7.070000,6.350000,6.800000,5.774158,492500
2008-12-04,6.890000,6.910000,6.510000,6.720000,5.706224,541400
2008-12-05,6.590000,7.110000,6.360000,7.090000,6.020408,334600
2008-12-08,7.380000,7.760000,7.030000,7.650000,6.495925,392700
2008-12-09,7.610000,8.120000,7.400000,7.530000,6.394029,367200
2008-12-10,7.470000,7.890000,7.420000,7.600000,6.505303,453800
2008-12-11,7.560000,7.910000,7.120000,7.240000,6.197158,376200
