Date,Open,High,Low,Close,Adj Close,Volume
2008-11-03,8.273334,8.830000,8.083333,8.573334,8.573334,861600
2008-11-04,8.753333,8.833333,8.333333,8.463333,8.463333,964200
2008-11-05,8.403334,8.740000,8.170000,8.203333,8.203333,858600
2008-11-06,8.173333,8.396667,8.173333,8.266666,8.266666,408900
2008-11-07,8.333333,8.380000,8.120000,8.366667,8.366667,493800
2008-11-10,8.523334,8.566667,8.240000,8.283334,8.283334,415200
2008-11-11,8.226666,8.456667,8.210000,8.340000,8.340000,434400
2008-11-12,8.266666,8.500000,8.266666,8.433333,8.433333,969300
2008-11-13,8.453333,8.573334,8.163333,8.500000,8.500000,1295100
2008-11-14,8.380000,8.670000,8.133333,8.170000,8.170000,1087200
2008-11-17,8.103333,8.653334,8.103333,8.486667,8.486667,775200
2008-11-18,8.486667,8.730000,8.280000,8.510000,8.510000,727200
2008-11-19,8.456667,8.553333,8.103333,8.116667,8.116667,537000
2008-11-20,8.133333,8.933333,8.090000,8.666667,8.666667,2481300
2008-11-21,8.696667,9.000000,8.576667,8.983334,8.983334,1894800
2008-11-24,9.103333,9.363334,8.916667,9.323334,9.323334,2335500
2008-11-25,9.333333,9.396667,9.010000,9.320000,9.320000,1319100
2008-11-26,9.250000,9.680000,9.250000,9.623333,9.623333,2525100
2008-11-28,9.580000,9.913333,9.510000,9.833333,9.833333,667500
2008-12-01,9.616667,9.890000,9.250000,9.333333,9.333333,1492800
2008-12-02,9.496667,9.530000,9.230000,9.406667,9.406667,1688700
2008-12-03,9.300000,9.570000,9.260000,9.496667,9.496667,1705800
2008-12-04,9.450000,9.996667,9.363334,9.506667,9.506667,1544100
2008-12-05,9.376667,10.000000,9.196667,9.996667,9.996667,1675200
2008-12-08,10.163333,10.193334,9.833333,9.953333,9.953333,1502100
2008-12-09,9.870000,10.240000,9.333333,9.476666,9.476666,829500
2008-12-10,9.593333,9.593333,9.190000,9.380000,9.380000,848700
2008-12-11,9.273334,9.480000,8.833333,9.026667,9.026667,750300
2008-12-12,8.710000,9.280000,8.666667,9.090000,9.090000,982800
2008-12-15,9.106667,9.346666,8.910000,9.166667,9.166667,603300
2008-12-16,9.320000,9.596666,9.246667,9.516666,9.516666,833700
2008-12-17,9.470000,9.756667,9.330000,9.530000,9.530000,1743900
2008-12-18,9.533334,9.876667,9.390000,9.776667,9.776667,1733100
2008-12-19,10.000000,10.143333,9.666667,9.746667,9.746667,1665900
2008-12-22,9.850000,9.850000,9.510000,9.666667,9.666667,882300
2008-12-23,9.716666,9.846666,9.490000,9.656667,9.656667,1249500
2008-12-24,9.720000,9.786667,9.526667,9.716666,9.716666,606600
2008-12-26,9.740000,10.170000,9.486667,10.116667,10.116667,456600
2008-12-29,10.120000,10.186666,9.750000,9.933333,9.933333,487800
2008-12-30,9.983334,10.356667,9.840000,10.353333,10.353333,750000
2008-12-31,10.343333,10.643333,10.283334,10.506667,10.506667,792900
2009-01-02,10.500000,10.586667,10.283334,10.523334,10.523334,655200
2009-01-05,10.583333,10.650000,10.296667,10.390000,10.390000,628200
2009-01-06,10.603333,10.643333,10.063334,10.233334,10.233334,806100
2009-01-07,10.100000,10.206667,9.890000,10.150000,10.150000,419100
2009-01-08,10.196667,10.433333,10.000000,10.130000,10.130000,532800
2009-01-09,10.100000,10.136666,9.680000,9.710000,9.710000,875100
2009-01-12,9.670000,9.906667,9.500000,9.730000,9.730000,763200
2009-01-13,9.753333,10.136666,9.600000,9.966666,9.966666,1285800
2009-01-14,9.783334,9.900000,9.520000,9.816667,9.816667,1213500
2009-01-15,9.780000,10.496667,9.686666,10.350000,10.350000,1920600
2009-01-16,10.406667,10.600000,10.356667,10.556666,10.556666,1360800
2009-01-20,10.826667,10.833333,10.350000,10.410000,10.410000,1388400
2009-01-21,10.476666,10.580000,10.073334,10.460000,10.460000,995100
2009-01-22,10.276667,10.746667,10.120000,10.530000,10.530000,1016400
2009-01-23,10.160000,10.513333,10.156667,10.290000,10.290000,1101900
2009-01-26,10.270000,10.770000,10.270000,10.560000,10.560000,737700
2009-01-27,10.666667,10.666667,10.423333,10.426666,10.426666,592500
2009-01-28,10.596666,10.680000,10.423333,10.666667,10.666667,856500
2009-01-29,10.613334,10.806666,10.586667,10.703333,10.703333,691500
2009-01-30,10.243333,10.526667,10.113334,10.316667,10.316667,1773300
2009-02-02,10.190000,10.710000,10.103333,10.653334,10.653334,1882500
2009-02-03,10.700000,10.733334,10.533334,10.673333,10.673333,1118100
2009-02-04,10.653334,11.280000,10.653334,11.043333,11.043333,2171400
2009-02-05,11.020000,11.476666,11.020000,11.373333,11.373333,1292400
2009-02-06,11.333333,11.490000,11.126667,11.430000,11.430000,1013400
2009-02-09,11.430000,11.430000,11.086667,11.133333,11.133333,1123800
2009-02-10,11.260000,11.330000,10.676666,10.696667,10.696667,1403700
2009-02-11,10.766666,11.043333,10.603333,10.776667,10.776667,733800
2009-02-12,10.656667,11.003333,10.656667,10.893333,10.893333,458400
