Date,Open,High,Low,Close,Adj Close,Volume
2008-11-03,23.959999,24.240000,23.559999,24.040001,17.176615,25300
2008-11-04,25.440001,25.799999,23.799999,24.760000,17.691055,38300
2008-11-05,24.280001,24.480000,20.320000,20.400000,14.575829,51200
2008-11-06,20.000000,23.400000,20.000000,21.200001,15.147432,100000
2008-11-07,21.400000,22.000000,20.959999,21.879999,15.633291,50700
2008-11-10,22.400000,22.600000,18.799999,19.040001,13.604107,33400
2008-11-11,18.680000,19.040001,17.440001,17.440001,12.460907,51000
2008-11-12,17.080000,17.480000,15.680000,15.840000,11.317702,47100
2008-11-13,15.800000,16.719999,14.400000,16.320000,11.660662,62700
2008-11-14,15.760000,15.800000,13.760000,14.000000,10.003022,52600
2008-11-17,13.600000,14.160000,13.040000,13.480000,9.631480,75800
2008-11-18,13.440000,14.240000,12.240000,14.240000,10.174500,77100
2008-11-19,14.200000,14.200000,11.480000,11.480000,8.202478,115700
2008-11-20,11.400000,11.560000,10.280000,10.720000,7.659454,92700
2008-11-21,11.560000,11.560000,7.760000,10.000000,7.145014,105600
2008-11-24,10.440000,12.560000,10.040000,12.160000,8.688339,124400
2008-11-25,12.640000,13.560000,11.880000,13.560000,9.688641,64300
2008-11-26,13.040000,14.520000,12.520000,14.520000,10.374560,63100
2008-11-28,14.960000,15.640000,14.000000,15.640000,11.174803,30100
2008-12-01,15.400000,15.400000,12.760000,12.960000,9.259938,74000
2008-12-02,13.320000,14.800000,12.720000,14.520000,10.374560,180800
2008-12-03,14.640000,14.920000,13.560000,14.880000,10.631783,129700
2008-12-04,14.800000,16.639999,14.040000,15.400000,11.003322,44900
2008-12-05,15.720000,17.360001,15.160000,17.240000,12.318007,65500
2008-12-08,17.719999,19.160000,17.200001,18.600000,13.289728,43600
2008-12-09,19.160000,22.200001,18.959999,19.360001,13.832748,104100
2008-12-10,19.639999,20.760000,19.000000,19.200001,13.718430,102000
2008-12-11,19.320000,20.000000,17.000000,17.000000,12.146525,56500
2008-12-12,17.080000,19.559999,17.000000,19.400000,13.861327,35200
2008-12-15,18.920000,19.879999,17.520000,18.480000,13.203984,18100
2008-12-16,18.959999,20.000000,18.959999,19.360001,13.832748,44100
2008-12-17,19.200001,20.920000,18.240000,20.440001,14.604408,60800
2008-12-18,20.400000,23.760000,19.840000,20.799999,14.861631,102400
2008-12-19,21.559999,22.959999,20.559999,20.559999,14.690152,158500
2008-12-22,20.799999,20.799999,18.160000,19.520000,13.947065,102700
2008-12-23,19.600000,21.719999,18.879999,19.200001,13.718430,172500
2008-12-24,19.480000,20.520000,18.799999,19.160000,13.689850,46000
2008-12-26,19.120001,19.680000,18.080000,19.120001,13.661267,28500
2008-12-29,19.200001,19.600000,18.000000,19.040001,13.604107,72700
2008-12-30,19.320000,20.320000,18.440001,20.200001,14.432932,75200
2008-12-31,20.000000,23.160000,20.000000,22.240000,15.890506,77100
2009-01-02,22.559999,24.320000,22.000000,22.360001,15.976254,66300
2009-01-05,22.000000,22.000000,20.360001,20.559999,14.826077,47100
2009-01-06,21.600000,23.680000,20.080000,22.559999,16.268305,56800
2009-01-07,22.200001,24.000000,21.959999,23.680000,17.075951,49900
2009-01-08,23.400000,25.840000,22.799999,25.440001,18.345110,80700
2009-01-09,25.360001,25.440001,23.920000,23.920000,17.249016,48100
2009-01-12,24.400000,24.799999,22.799999,23.000000,16.585594,34100
2009-01-13,22.719999,25.200001,22.719999,24.559999,17.710527,36800
2009-01-14,23.760000,23.760000,21.040001,21.040001,15.172213,65200
2009-01-15,21.320000,22.480000,19.559999,22.480000,16.210613,38900
2009-01-16,22.760000,23.120001,20.320000,21.559999,15.547187,93100
2009-01-20,21.000000,21.000000,17.840000,17.840000,12.864649,26600
2009-01-21,18.160000,20.040001,18.000000,19.760000,14.249188,62200
2009-01-22,18.920000,20.760000,18.120001,20.160000,14.537631,37300
2009-01-23,19.520000,20.160000,18.959999,19.520000,14.076118,37800
2009-01-26,19.520000,20.000000,19.200001,19.719999,14.220345,13300
2009-01-27,19.719999,20.920000,19.240000,20.920000,15.085683,27900
2009-01-28,21.480000,21.879999,21.080000,21.879999,15.777950,35700
2009-01-29,20.959999,21.360001,19.799999,20.600000,14.854920,63300
2009-01-30,20.920000,20.920000,18.000000,18.520000,13.355010,48500
2009-02-02,18.160000,19.600000,18.040001,19.000000,13.701144,35000
2009-02-03,19.240000,19.840000,18.480000,19.240000,13.874209,41300
2009-02-04,19.400000,21.959999,19.320000,19.840000,14.306874,34000
2009-02-05,19.000000,20.200001,19.000000,19.440001,14.018433,27000
2009-02-06,19.200001,19.480000,18.120001,18.680000,13.470388,45000
2009-02-09,18.440001,19.280001,17.360001,17.760000,12.806958,75200
2009-02-10,17.680000,18.360001,15.560000,16.520000,11.912783,74600
2009-02-11,16.520000,17.000000,16.400000,16.680000,12.028161,23600
2009-02-12,16.320000,17.200001,16.000000,17.080000,12.316605,53800
2009-02-13,17.040001,17.600000,16.000000,16.280001,11.739717,67600
