Date,Open,High,Low,Close,Adj Close,Volume
2008-11-03,4.320000,4.320000,4.190000,4.210000,3.776579,2700
2008-11-04,4.290000,4.290000,4.200000,4.200000,3.767608,1000
2008-11-05,4.220000,4.240000,4.180000,4.190000,3.758638,30100
2008-11-06,4.070000,4.540000,4.070000,4.400000,3.947019,21100
2008-11-07,4.260000,4.260000,4.190000,4.240000,3.803489,2000
2008-11-10,4.200000,4.200000,4.090000,4.110000,3.686874,3200
2008-11-11,4.080000,4.080000,3.930000,3.930000,3.525405,27800
2008-11-12,3.930000,3.930000,3.690000,3.700000,3.319084,10700
2008-11-13,3.750000,3.750000,3.610000,3.650000,3.274231,20000
2008-11-14,3.720000,3.720000,3.600000,3.610000,3.238349,17000
2008-11-17,3.620000,3.620000,3.330000,3.540000,3.175555,6900
2008-11-18,3.500000,3.530000,3.330000,3.350000,3.005116,9100
2008-11-19,3.270000,3.270000,2.800000,2.880000,2.583503,44200
2008-11-20,2.900000,2.980000,2.550000,2.700000,2.422034,34000
2008-11-21,2.630000,2.720000,2.450000,2.550000,2.287476,14400
2008-11-24,2.680000,2.840000,2.680000,2.830000,2.538650,22200
2008-11-25,2.830000,2.840000,2.780000,2.800000,2.511739,10200
2008-11-26,2.820000,2.920000,2.800000,2.920000,2.619385,18700
2008-11-28,2.980000,3.470000,2.970000,3.450000,3.094821,2500
2008-12-01,3.450000,3.450000,3.110000,3.290000,2.951293,11000
2008-12-02,3.430000,3.430000,3.400000,3.400000,3.049968,1400
2008-12-03,3.250000,3.250000,2.890000,2.900000,2.601444,9800
2008-12-04,2.900000,3.030000,2.810000,2.810000,2.520709,19400
2008-12-05,2.890000,3.110000,2.810000,2.890000,2.592473,22900
2008-12-08,3.000000,3.000000,2.820000,2.880000,2.583503,24100
2008-12-09,2.920000,2.920000,2.850000,2.880000,2.583503,17400
2008-12-10,2.800000,2.850000,2.640000,2.790000,2.502769,9600
2008-12-11,2.570000,2.700000,2.570000,2.690000,2.413063,44800
2008-12-12,2.630000,2.780000,2.630000,2.680000,2.404093,10400
2008-12-15,2.990000,2.990000,2.760000,2.810000,2.520709,25200
2008-12-16,2.880000,3.100000,2.880000,2.970000,2.664237,14100
