Date,Open,High,Low,Close,AdjClose,Volume
2008-11-03,9.050000,9.440000,8.730000,9.250000,9.250000,130600
2008-11-04,9.500000,10.000000,9.310000,9.530000,9.530000,260400
2008-11-05,9.460000,9.990000,8.230000,8.260000,8.260000,241400
2008-11-06,8.260000,8.970000,7.700000,7.750000,7.750000,134500
2008-11-07,7.850000,8.500000,7.100000,7.360000,7.360000,145300
2008-11-10,7.510000,7.550000,6.900000,6.980000,6.980000,153100
2008-11-11,6.900000,7.390000,6.630000,6.690000,6.690000,120100
2008-11-12,6.600000,6.830000,6.300000,6.300000,6.300000,96400
2008-11-13,6.570000,7.360000,6.100000,7.340000,7.340000,140100
2008-11-14,7.190000,7.190000,6.480000,6.500000,6.500000,92400
2008-11-17,6.460000,6.840000,6.240000,6.250000,6.250000,113300
2008-11-18,6.300000,6.370000,5.640000,5.810000,5.810000,130900
2008-11-19,5.810000,5.930000,5.180000,5.230000,5.230000,146000
2008-11-20,5.210000,5.460000,4.520000,4.550000,4.550000,262700
2008-11-21,4.670000,4.840000,4.080000,4.720000,4.720000,202000
2008-11-24,4.750000,5.400000,4.600000,5.340000,5.340000,127500
2008-11-25,5.660000,5.660000,4.690000,5.220000,5.220000,161300
2008-11-26,5.030000,5.350000,4.800000,5.350000,5.350000,140900
2008-11-28,5.260000,5.260000,4.450000,4.880000,4.880000,129800
2008-12-01,4.680000,4.680000,4.410000,4.410000,4.410000,160700
2008-12-02,4.510000,4.650000,4.370000,4.650000,4.650000,73000
2008-12-03,4.540000,4.970000,4.350000,4.580000,4.580000,84300
2008-12-04,4.650000,4.750000,4.110000,4.150000,4.150000,135400
2008-12-05,4.310000,4.620000,4.000000,4.520000,4.520000,133800
2008-12-08,4.610000,5.540000,4.520000,5.390000,5.390000,247100
2008-12-09,5.390000,5.520000,4.870000,4.900000,4.900000,138200
2008-12-10,4.990000,5.170000,4.900000,4.970000,4.970000,96500
2008-12-11,4.910000,5.220000,4.640000,4.670000,4.670000,95100
2008-12-12,4.660000,5.010000,4.540000,5.010000,5.010000,100400
2008-12-15,5.060000,5.250000,4.660000,4.810000,4.810000,102900
2008-12-16,4.880000,5.150000,4.800000,5.110000,5.110000,122700
2008-12-17,5.070000,5.200000,5.000000,5.120000,5.120000,92900
2008-12-18,5.200000,5.500000,4.990000,5.140000,5.140000,140900
2008-12-19,5.400000,6.920000,5.390000,5.890000,5.890000,380100
2008-12-22,5.950000,5.980000,5.250000,5.610000,5.610000,185200
2008-12-23,5.640000,5.900000,5.500000,5.510000,5.510000,54800
2008-12-24,5.530000,5.980000,5.530000,5.930000,5.930000,26400
2008-12-26,5.940000,5.940000,5.600000,5.860000,5.860000,36000
2008-12-29,5.860000,5.860000,4.360000,4.830000,4.830000,669300
2008-12-30,4.870000,4.920000,4.210000,4.210000,4.210000,2021500
2008-12-31,4.300000,5.090000,4.300000,5.070000,5.070000,534200
2009-01-02,5.080000,5.690000,4.850000,5.620000,5.620000,283100
2009-01-05,5.620000,5.710000,5.400000,5.500000,5.500000,179000
2009-01-06,5.380000,5.860000,5.380000,5.740000,5.740000,268300
2009-01-07,5.820000,5.870000,5.250000,5.290000,5.290000,171200
2009-01-08,5.280000,5.700000,5.250000,5.700000,5.700000,144900
2009-01-09,5.720000,5.780000,5.290000,5.290000,5.290000,106700
2009-01-12,5.310000,5.460000,5.310000,5.340000,5.340000,150900
2009-01-13,5.340000,5.750000,5.310000,5.360000,5.360000,120500
2009-01-14,5.310000,5.440000,5.000000,5.000000,5.000000,159300
2009-01-15,5.020000,5.320000,4.900000,5.320000,5.320000,113300
2009-01-16,5.380000,5.440000,4.910000,5.080000,5.080000,146400
2009-01-20,5.060000,5.240000,4.650000,4.650000,4.650000,146500
2009-01-21,4.800000,5.100000,4.650000,5.080000,5.080000,128600
2009-01-22,4.900000,5.140000,4.750000,4.860000,4.860000,101100
2009-01-23,4.700000,4.810000,4.630000,4.690000,4.690000,140300
2009-01-26,4.700000,4.950000,4.650000,4.740000,4.740000,46000
2009-01-27,4.750000,5.000000,4.750000,4.920000,4.920000,62100
2009-01-28,5.040000,5.200000,4.930000,5.190000,5.190000,102900
2009-01-29,5.080000,5.100000,4.870000,4.920000,4.920000,79800
2009-01-30,4.990000,5.050000,4.660000,4.680000,4.680000,76500
2009-02-02,4.500000,4.980000,4.500000,4.950000,4.950000,125100
2009-02-03,5.070000,5.150000,4.910000,5.130000,5.130000,127400
2009-02-04,5.150000,5.250000,4.900000,4.910000,4.910000,93200
2009-02-05,4.850000,5.330000,4.850000,5.150000,5.150000,68800
2009-02-06,5.160000,5.460000,5.150000,5.310000,5.310000,84400
2009-02-09,5.350000,5.680000,5.170000,5.670000,5.670000,75200
2009-02-10,5.700000,6.500000,5.700000,5.870000,5.870000,382700
2009-02-11,5.940000,6.210000,5.600000,5.880000,5.880000,98300
2009-02-12,5.880000,6.200000,5.790000,6.160000,6.160000,141500
2009-02-13,6.160000,6.570000,6.160000,6.310000,6.310000,182600
2009-02-17,6.250000,6.360000,5.890000,5.930000,5.930000,170600
2009-02-18,6.120000,6.430000,5.880000,6.350000,6.350000,244400
2009-02-19,6.440000,6.470000,5.930000,6.300000,6.300000,195300
2009-02-20,7.190000,7.640000,7.000000,7.020000,7.020000,546700
2009-02-23,7.210000,7.300000,6.170000,6.320000,6.320000,308100
2009-02-24,6.420000,6.770000,6.090000,6.700000,6.700000,210400
2009-02-25,6.800000,6.800000,6.350000,6.480000,6.480000,177100
2009-02-26,6.340000,6.610000,6.020000,6.100000,6.100000,119300
2009-02-27,5.920000,6.100000,5.730000,5.940000,5.940000,226800
2009-03-02,5.930000,5.990000,5.190000,5.210000,5.210000,235300
2009-03-03,5.330000,5.460000,5.250000,5.250000,5.250000,191100
2009-03-04,5.430000,5.560000,5.250000,5.390000,5.390000,232200
2009-03-05,5.250000,5.280000,5.090000,5.120000,5.120000,115500
2009-03-06,5.250000,5.290000,5.030000,5.090000,5.090000,188200
2009-03-09,5.090000,5.270000,4.900000,4.900000,4.900000,156800
2009-03-10,5.060000,5.360000,4.990000,5.280000,5.280000,147600
2009-03-11,5.340000,5.600000,5.190000,5.220000,5.220000,161400
2009-03-12,5.200000,5.470000,5.180000,5.460000,5.460000,171600
2009-03-13,5.510000,5.590000,5.300000,5.520000,5.520000,154700
2009-03-16,5.650000,5.740000,5.340000,5.390000,5.390000,95100
2009-03-17,5.400000,5.700000,5.290000,5.700000,5.700000,125100
2009-03-18,5.680000,6.340000,5.500000,6.260000,6.260000,116400
2009-03-19,6.360000,6.620000,6.160000,6.410000,6.410000,112100
2009-03-20,6.490000,6.590000,6.120000,6.230000,6.230000,124600
2009-03-23,6.470000,6.880000,6.320000,6.870000,6.870000,166000
2009-03-24,6.660000,6.990000,6.570000,6.660000,6.660000,182900
2009-03-25,6.740000,7.200000,6.610000,7.190000,7.190000,203000
2009-03-26,7.310000,7.570000,7.100000,7.500000,7.500000,291600
2009-03-27,6.510000,7.440000,6.510000,7.060000,7.060000,205700
2009-03-30,6.810000,7.130000,6.370000,7.040000,7.040000,418100
2009-03-31,7.250000,7.540000,6.880000,6.950000,6.950000,250400
2009-04-01,6.810000,7.510000,6.630000,7.360000,7.360000,250900
2009-04-02,7.500000,8.180000,7.450000,8.000000,8.000000,201800
2009-04-03,8.050000,8.240000,7.950000,8.240000,8.240000,267500
2009-04-06,8.110000,8.230000,7.640000,7.970000,7.970000,177000
2009-04-07,7.840000,8.200000,7.520000,7.540000,7.540000,196200
2009-04-08,7.640000,8.070000,7.500000,7.980000,7.980000,167700
2009-04-09,8.190000,8.880000,8.010000,8.800000,8.800000,323500
2009-04-13,8.680000,8.680000,8.320000,8.550000,8.550000,216500
2009-04-14,8.410000,8.720000,8.200000,8.250000,8.250000,146100
2009-04-15,8.160000,8.580000,8.060000,8.490000,8.490000,88400
2009-04-16,8.570000,9.010000,8.230000,8.950000,8.950000,206400
2009-04-17,8.980000,9.000000,8.660000,8.740000,8.740000,158900
2009-04-20,8.520000,8.550000,8.070000,8.260000,8.260000,188300
2009-04-21,8.150000,8.880000,8.050000,8.800000,8.800000,119800
2009-04-22,8.900000,9.610000,8.700000,9.130000,9.130000,303200
2009-04-23,9.250000,9.500000,8.700000,8.860000,8.860000,313400
2009-04-24,8.950000,9.850000,8.950000,9.680000,9.680000,203400
2009-04-27,9.540000,9.770000,9.300000,9.480000,9.480000,142800
2009-04-28,9.320000,9.990000,9.150000,9.780000,9.780000,216400
2009-04-29,9.860000,10.300000,9.860000,10.270000,10.270000,215200
2009-04-30,10.270000,10.500000,9.950000,10.240000,10.240000,236900
2009-05-01,10.350000,10.590000,10.140000,10.220000,10.220000,183400
2009-05-04,10.390000,10.630000,10.170000,10.260000,10.260000,227800
2009-05-05,10.210000,10.250000,9.540000,9.900000,9.900000,189300
2009-05-06,10.200000,10.260000,9.150000,9.440000,9.440000,340000
2009-05-07,9.550000,9.750000,8.410000,8.680000,8.680000,321700
2009-05-08,8.900000,9.270000,8.560000,9.210000,9.210000,236900
2009-05-11,9.050000,9.270000,8.910000,9.040000,9.040000,111500
2009-05-12,9.240000,9.250000,8.800000,9.080000,9.080000,113300
2009-05-13,8.860000,8.860000,8.410000,8.450000,8.450000,186900
2009-05-14,8.530000,8.860000,8.410000,8.670000,8.670000,104600
2009-05-15,8.660000,8.980000,8.660000,8.900000,8.900000,128500
2009-05-18,9.000000,9.370000,8.770000,9.330000,9.330000,99500
2009-05-19,9.280000,10.690000,9.110000,10.610000,10.610000,698300
2009-05-20,10.610000,11.190000,9.920000,10.020000,10.020000,334800
2009-05-21,9.900000,9.900000,9.450000,9.680000,9.680000,152600
2009-05-22,9.800000,10.170000,9.660000,9.860000,9.860000,111500
2009-05-26,9.750000,10.310000,9.740000,10.250000,10.250000,119400
2009-05-27,10.190000,10.260000,10.000000,10.060000,10.060000,149900
2009-05-28,10.220000,10.870000,9.980000,10.790000,10.790000,244700
2009-05-29,10.870000,11.390000,10.570000,11.360000,11.360000,702500
2009-06-01,11.300000,12.010000,11.280000,11.990000,11.990000,324800
2009-06-02,11.810000,12.120000,11.640000,12.000000,12.000000,175100
2009-06-03,11.830000,12.000000,11.250000,11.650000,11.650000,149300
2009-06-04,11.610000,12.070000,11.530000,12.040000,12.040000,120200
2009-06-05,12.150000,12.220000,11.600000,12.070000,12.070000,136400
2009-06-08,12.000000,12.000000,11.450000,11.740000,11.740000,166400
2009-06-09,11.860000,12.090000,11.660000,11.810000,11.810000,116300
2009-06-10,11.980000,12.020000,11.210000,11.360000,11.360000,204300
2009-06-11,11.360000,12.010000,11.300000,11.760000,11.760000,126900
2009-06-12,11.670000,12.410000,11.600000,12.390000,12.390000,232400
2009-06-15,12.020000,12.250000,11.500000,11.900000,11.900000,128100
2009-06-16,12.130000,12.130000,10.950000,10.950000,10.950000,276100
2009-06-17,11.010000,11.460000,10.750000,11.150000,11.150000,231900
2009-06-18,11.030000,11.640000,10.900000,11.620000,11.620000,231300
2009-06-19,11.780000,12.190000,11.630000,12.000000,12.000000,199500
2009-06-22,11.850000,11.860000,11.470000,11.640000,11.640000,189300
2009-06-23,11.640000,12.380000,11.330000,12.260000,12.260000,281300
2009-06-24,12.370000,13.200000,12.300000,13.130000,13.130000,316900
