Date,Open,High,Low,Close,Adj Close,Volume
2008-11-03,4.390685,4.623559,4.316075,4.537644,4.220910,6208100
2008-11-04,4.698169,4.779562,4.406511,4.510513,4.195673,5654800
2008-11-05,4.512774,4.781822,4.191725,4.316075,4.014807,3696700
2008-11-06,4.218856,4.327380,3.879720,3.976939,3.699343,5848500
2008-11-07,3.981461,4.257291,3.981461,4.257291,3.960127,4028400
2008-11-10,4.345467,4.415555,3.954330,3.992765,3.714065,4149200
2008-11-11,3.936242,3.967895,3.712412,3.773457,3.510065,3477300
2008-11-12,3.716934,3.744065,3.438842,3.443364,3.203013,3641800
2008-11-13,3.463712,3.902329,3.267013,3.832241,3.564745,4679000
2008-11-14,3.764413,3.891024,3.683021,3.701108,3.442765,4195200
2008-11-17,3.696586,3.807371,3.565453,3.685282,3.428044,2886000
2008-11-18,3.662672,3.764413,3.443364,3.588062,3.337611,2731600
2008-11-19,3.597106,3.728239,3.309971,3.309971,3.078930,3331800
2008-11-20,3.298666,3.527018,3.092923,3.332580,3.099961,6542000
2008-11-21,3.384581,3.441103,3.122315,3.418494,3.179879,5794500
2008-11-24,3.635541,4.203030,3.452408,4.148768,3.859178,6120100
2008-11-25,4.307032,4.352250,4.101289,4.313814,4.012704,6158100
2008-11-26,4.250509,4.639385,4.178160,4.637124,4.313447,4271200
2008-11-28,4.639385,4.793127,4.585123,4.793127,4.458560,896500
2008-12-01,4.720778,4.788605,4.259552,4.273118,3.974849,2786000
2008-12-02,4.356771,4.643907,4.230161,4.524079,4.208292,4963400
2008-12-03,4.458512,4.747909,4.331902,4.686864,4.359715,4056700
2008-12-04,4.546688,4.793127,4.347728,4.469817,4.157817,3245100
2008-12-05,4.338684,4.682343,4.245987,4.621298,4.298725,2932400
2008-12-08,4.729821,5.107393,4.582862,5.023739,4.673076,7135600
2008-12-09,5.014696,5.014696,4.675560,4.713995,4.384952,4912100
2008-12-10,4.759213,4.876781,4.668777,4.836084,4.498519,1979200
2008-12-11,4.811214,4.935564,4.530861,4.589645,4.269282,2603300
2008-12-12,4.392946,4.772779,4.318336,4.729821,4.399673,2987200
