Date,Open,High,Low,Close,AdjClose,Volume
2008-11-03,4.155000,4.305000,4.155000,4.305000,4.052003,2400
2008-11-04,4.685000,4.715000,4.275000,4.275000,4.023766,2000
2008-11-05,4.275000,4.275000,4.275000,4.275000,4.023766,0
2008-11-06,4.275000,4.300000,4.205000,4.205000,3.957880,6600
2008-11-07,4.175000,4.200000,4.155000,4.160000,3.915524,7000
2008-11-10,4.190000,4.190000,4.155000,4.175000,3.929643,7000
2008-11-11,4.185000,4.300000,4.155000,4.200000,3.953173,41200
2008-11-12,4.175000,4.350000,4.160000,4.250000,4.000235,25400
2008-11-13,4.375000,4.620000,4.305000,4.535000,4.268486,31200
2008-11-14,4.550000,4.760000,4.550000,4.760000,4.480264,22400
2008-11-17,4.775000,4.925000,4.750000,4.860000,4.574387,39000
2008-11-18,4.850000,4.950000,4.750000,4.950000,4.659097,11000
2008-11-19,4.800000,4.850000,4.800000,4.850000,4.564974,59400
2008-11-20,4.775000,4.785000,4.675000,4.735000,4.456733,34800
2008-11-21,4.725000,4.965000,4.535000,4.535000,4.268486,251600
2008-11-24,4.380000,4.745000,4.375000,4.500000,4.235543,11200
2008-11-25,4.750000,4.995000,4.625000,4.750000,4.470851,203200
2008-11-26,4.750000,4.760000,4.750000,4.755000,4.475557,8200
2008-11-28,4.885000,4.885000,4.750000,4.885000,4.597918,7800
2008-12-01,4.995000,5.340000,4.995000,5.125000,4.823813,20800
2008-12-02,5.000000,5.035000,5.000000,5.035000,4.739102,41800
2008-12-03,5.000000,5.400000,5.000000,5.235000,4.927349,9000
2008-12-04,5.230000,5.240000,5.230000,5.235000,4.927349,26000
2008-12-05,5.440000,5.440000,5.440000,5.440000,5.120301,200
2008-12-08,5.400000,5.480000,5.030000,5.440000,5.120301,21400
2008-12-09,5.025000,5.345000,5.025000,5.035000,4.739102,5000
2008-12-10,5.300000,5.300000,5.255000,5.255000,4.946173,3800
2008-12-11,5.070000,5.070000,5.070000,5.070000,4.772045,4800
2008-12-12,5.025000,5.190000,5.025000,5.125000,4.823813,29800
2008-12-15,5.260000,5.260000,5.260000,5.260000,4.950880,400
2008-12-16,5.080000,5.295000,5.080000,5.295000,4.983822,3200
2008-12-17,5.245000,5.245000,5.225000,5.225000,4.917936,5000
2008-12-18,5.105000,5.365000,5.090000,5.365000,5.049708,83600
2008-12-19,5.155000,5.175000,5.135000,5.135000,4.833225,3000
2008-12-22,5.170000,5.330000,5.130000,5.160000,4.856756,107000
2008-12-23,5.230000,5.375000,4.995000,5.015000,4.720277,31600
2008-12-24,5.080000,5.160000,5.080000,5.125000,4.823813,3400
2008-12-26,5.020000,5.160000,5.020000,5.160000,4.856756,4000
2008-12-29,5.155000,5.155000,5.115000,5.155000,4.852050,110800
2008-12-30,5.125000,5.370000,5.125000,5.290000,4.979116,46000
2008-12-31,5.250000,5.335000,5.250000,5.255000,4.946173,86000
2009-01-02,5.370000,5.375000,5.350000,5.375000,5.059121,11600
2009-01-05,5.375000,5.375000,5.245000,5.315000,5.002647,59800
2009-01-06,5.425000,5.485000,5.175000,5.455000,5.134419,15800
2009-01-07,5.455000,5.455000,5.455000,5.455000,5.134419,0
2009-01-08,5.300000,5.315000,5.300000,5.315000,5.002647,600
2009-01-09,5.470000,5.500000,5.345000,5.365000,5.049708,17400
2009-01-12,5.290000,5.315000,5.250000,5.255000,4.946173,35000
2009-01-13,5.480000,5.480000,5.175000,5.250000,4.941467,108800
2009-01-14,5.275000,5.275000,5.200000,5.200000,4.894405,10000
2009-01-15,5.205000,5.275000,5.200000,5.225000,4.917936,31200
2009-01-16,5.205000,5.305000,5.205000,5.230000,4.922642,9600
2009-01-20,5.230000,5.230000,5.130000,5.150000,4.847344,15000
2009-01-21,5.125000,5.225000,5.125000,5.170000,4.866168,20200
2009-01-22,5.125000,5.200000,5.115000,5.200000,4.894405,69600
2009-01-23,5.140000,5.150000,5.135000,5.150000,4.847344,8000
2009-01-26,5.215000,5.215000,5.160000,5.160000,4.856756,9400
2009-01-27,5.230000,5.385000,5.190000,5.255000,4.946173,44200
2009-01-28,5.300000,5.305000,5.120000,5.120000,4.819107,16200
2009-01-29,5.360000,5.360000,5.240000,5.275000,4.964998,6800
2009-01-30,5.255000,5.330000,5.255000,5.330000,5.016765,1600
2009-02-02,5.140000,5.190000,5.130000,5.190000,4.884993,8200
2009-02-03,5.125000,5.330000,5.125000,5.200000,4.894405,11200
2009-02-04,5.200000,5.200000,5.200000,5.200000,4.894405,0
2009-02-05,5.125000,5.170000,5.125000,5.170000,4.866168,13400
2009-02-06,5.045000,5.340000,5.045000,5.165000,4.861462,9200
2009-02-09,5.170000,5.245000,5.130000,5.160000,4.856756,11600
