Date,Open,High,Low,Close,AdjClose,Volume
2008-11-03,9.170000,9.520000,9.120000,9.260000,6.706933,413200
2008-11-04,9.440000,9.470000,9.110000,9.370000,6.786605,293800
2008-11-05,9.200000,9.490000,9.120000,9.150000,6.627260,388700
2008-11-06,9.040000,9.180000,8.670000,8.690000,6.294087,334100
2008-11-07,8.670000,8.820000,8.370000,8.590000,6.221659,336800
2008-11-10,8.600000,8.690000,8.130000,8.270000,5.989887,235900
2008-11-11,8.210000,8.210000,7.650000,7.690000,5.569798,523700
2008-11-12,7.560000,7.600000,6.860000,6.880000,4.983120,512300
2008-11-13,6.860000,6.980000,6.280000,6.950000,5.033821,844100
2008-11-14,6.850000,6.920000,6.160000,6.160000,4.461631,609600
2008-11-17,6.120000,6.330000,6.000000,6.160000,4.461631,667900
2008-11-18,6.160000,6.220000,5.820000,6.060000,4.389203,523000
2008-11-19,5.880000,6.040000,5.340000,5.340000,3.867713,588200
2008-11-20,5.250000,5.440000,5.080000,5.110000,3.701127,743900
2008-11-21,5.240000,5.490000,5.090000,5.440000,3.940142,1055200
2008-11-24,5.430000,6.000000,5.430000,5.850000,4.237102,755500
2008-11-25,5.880000,6.010000,5.690000,5.910000,4.280559,727100
2008-11-26,5.720000,6.410000,5.720000,6.300000,4.563033,429900
2008-11-28,6.190000,6.450000,6.130000,6.450000,4.671676,150100
2008-12-01,6.420000,6.420000,5.810000,5.910000,4.280559,858900
2008-12-02,5.990000,6.050000,5.760000,6.000000,4.345747,1217800
2008-12-03,5.920000,6.330000,5.860000,6.290000,4.555791,1278000
2008-12-04,5.980000,6.340000,5.820000,6.190000,4.483361,678000
2008-12-05,6.160000,6.480000,5.890000,6.460000,4.678919,951500
2008-12-08,6.530000,6.620000,6.310000,6.460000,4.678919,525800
2008-12-09,6.340000,6.420000,5.760000,5.890000,4.266073,697900
2008-12-10,5.820000,6.240000,5.820000,6.180000,4.476118,457600
2008-12-11,6.120000,6.180000,5.830000,5.880000,4.258830,495100
2008-12-12,5.770000,6.290000,5.680000,6.010000,4.352988,661500
2008-12-15,5.960000,6.090000,5.700000,5.810000,4.208130,694400
2008-12-16,5.770000,6.070000,5.720000,6.050000,4.381960,982900
2008-12-17,5.920000,6.100000,5.870000,5.880000,4.258830,568200
2008-12-18,5.900000,6.000000,5.710000,5.760000,4.171915,503200
2008-12-19,5.790000,5.990000,5.690000,5.730000,4.150187,478300
2008-12-22,5.890000,6.130000,5.400000,5.450000,3.947385,494900
2008-12-23,5.500000,5.570000,5.410000,5.450000,3.947385,792400
2008-12-24,5.470000,5.470000,5.220000,5.250000,3.859176,204200
2008-12-26,5.250000,5.380000,5.220000,5.310000,3.903280,282300
2008-12-29,5.250000,5.350000,5.020000,5.090000,3.741563,641100
2008-12-30,5.020000,5.450000,5.010000,5.440000,3.998841,1679800
2008-12-31,5.440000,5.680000,5.340000,5.620000,4.131157,2199700
2009-01-02,5.720000,5.950000,5.560000,5.840000,4.292873,2164300
2009-01-05,5.850000,5.950000,5.460000,5.480000,4.028243,2264000
2009-01-06,5.530000,5.590000,5.320000,5.320000,3.910632,1367000
2009-01-07,5.330000,5.330000,5.010000,5.080000,3.734212,941700
