Date,Open,High,Low,Close,AdjClose,Volume
2008-11-03,7.630000,7.880000,7.630000,7.760000,7.760000,103000
2008-11-04,7.830000,8.210000,7.780000,8.110000,8.110000,122700
2008-11-05,7.980000,8.160000,7.510000,7.530000,7.530000,109000
2008-11-06,7.480000,7.690000,7.100000,7.100000,7.100000,125600
2008-11-07,7.190000,7.370000,7.010000,7.110000,7.110000,115000
2008-11-10,7.280000,7.280000,7.000000,7.160000,7.160000,68500
2008-11-11,7.110000,7.380000,6.990000,6.990000,6.990000,88000
2008-11-12,6.950000,7.040000,6.580000,6.590000,6.590000,119400
2008-11-13,6.580000,7.660000,6.500000,7.540000,7.540000,120700
2008-11-14,7.330000,7.350000,6.810000,6.830000,6.830000,86700
2008-11-17,6.750000,6.750000,6.220000,6.230000,6.230000,222500
2008-11-18,6.300000,6.730000,6.230000,6.250000,6.250000,127000
2008-11-19,6.250000,6.400000,6.090000,6.090000,6.090000,103000
2008-11-20,6.060000,6.240000,5.880000,5.960000,5.960000,109100
2008-11-21,6.070000,6.520000,5.820000,6.400000,6.400000,160100
2008-11-24,6.520000,7.310000,6.280000,7.110000,7.110000,166900
2008-11-25,7.180000,7.180000,6.740000,7.000000,7.000000,101100
2008-11-26,6.840000,7.060000,6.840000,6.980000,6.980000,137600
2008-11-28,6.870000,6.900000,6.450000,6.840000,6.840000,43200
2008-12-01,6.620000,6.900000,6.290000,6.310000,6.310000,116400
2008-12-02,6.460000,6.800000,5.960000,6.780000,6.780000,79700
2008-12-03,6.550000,7.100000,6.550000,7.030000,7.030000,106300
2008-12-04,6.930000,7.140000,6.740000,6.830000,6.830000,146400
2008-12-05,6.800000,6.980000,6.340000,6.900000,6.900000,152700
2008-12-08,7.040000,7.270000,7.000000,7.270000,7.270000,159000
2008-12-09,7.180000,7.850000,7.140000,7.210000,7.210000,146700
2008-12-10,7.230000,7.850000,6.990000,7.800000,7.800000,249600
2008-12-11,7.700000,8.000000,7.410000,7.540000,7.540000,181500
2008-12-12,7.420000,7.770000,7.260000,7.710000,7.710000,125500
2008-12-15,7.740000,7.750000,7.150000,7.240000,7.240000,104400
