Date,Open,High,Low,Close,AdjClose,Volume
2008-11-03,2.050000,2.070000,2.050000,2.050000,2.050000,800
2008-11-04,2.050000,2.250000,2.010000,2.010000,2.010000,2200
2008-11-05,2.150000,2.290000,2.150000,2.290000,2.290000,1200
2008-11-06,2.060000,2.180000,2.050000,2.180000,2.180000,800
2008-11-07,2.270000,2.300000,2.090000,2.110000,2.110000,1000
2008-11-10,2.150000,2.340000,1.770000,1.950000,1.950000,8900
2008-11-11,1.750000,2.030000,1.750000,1.850000,1.850000,3300
2008-11-12,1.950000,2.120000,1.860000,1.980000,1.980000,4700
2008-11-13,2.130000,2.130000,1.950000,1.960000,1.960000,1600
2008-11-14,2.070000,2.240000,1.950000,2.240000,2.240000,18600
2008-11-17,2.340000,2.400000,2.050000,2.110000,2.110000,1500
2008-11-18,2.050000,2.360000,2.010000,2.250000,2.250000,11000
2008-11-19,2.150000,2.150000,2.090000,2.100000,2.100000,1800
2008-11-20,1.950000,2.500000,1.950000,2.160000,2.160000,9100
2008-11-21,2.100000,2.270000,2.010000,2.250000,2.250000,14900
2008-11-24,2.250000,2.250000,2.010000,2.020000,2.020000,4300
2008-11-25,2.050000,2.100000,2.050000,2.050000,2.050000,1600
2008-11-26,2.000000,2.240000,2.000000,2.010000,2.010000,2900
2008-11-28,2.100000,2.100000,2.010000,2.050000,2.050000,900
2008-12-01,2.000000,2.070000,2.000000,2.050000,2.050000,4100
2008-12-02,2.050000,2.050000,2.050000,2.050000,2.050000,0
2008-12-03,2.050000,2.050000,1.980000,2.000000,2.000000,21000
2008-12-04,2.080000,2.080000,1.940000,1.950000,1.950000,2000
2008-12-05,1.990000,2.050000,1.940000,1.950000,1.950000,6500
2008-12-08,2.000000,2.000000,1.980000,1.980000,1.980000,3200
2008-12-09,2.150000,2.240000,2.150000,2.240000,2.240000,1600
2008-12-10,2.100000,2.200000,1.900000,1.930000,1.930000,5400
2008-12-11,1.980000,2.090000,1.900000,1.920000,1.920000,8500
2008-12-12,2.020000,2.020000,1.900000,2.010000,2.010000,3300
2008-12-15,1.950000,2.120000,1.480000,1.480000,1.480000,70300
2008-12-16,1.620000,1.810000,1.620000,1.650000,1.650000,3900
2008-12-17,1.650000,1.650000,1.460000,1.590000,1.590000,12200
