Date,Open,High,Low,Close,AdjClose,Volume
2008-11-03,14.160000,14.300000,13.950000,14.110000,8.433370,170600
2008-11-04,14.230000,14.250000,13.600000,13.870000,8.289926,257500
2008-11-05,13.860000,14.100000,13.770000,13.800000,8.248087,260300
2008-11-06,13.500000,13.700000,12.700000,13.150000,7.859590,319700
2008-11-07,13.250000,13.330000,12.790000,13.080000,7.817751,391100
2008-11-10,13.380000,13.570000,12.610000,12.890000,7.704190,270600
2008-11-11,12.740000,12.900000,12.500000,12.650000,7.560748,174800
2008-11-12,12.580000,12.840000,12.420000,12.430000,7.429256,226200
2008-11-13,12.450000,12.720000,11.800000,12.720000,7.602585,352800
2008-11-14,12.520000,12.990000,12.400000,12.420000,7.423280,226500
2008-11-17,12.400000,12.620000,12.130000,12.140000,7.255926,219500
2008-11-18,12.220000,12.290000,11.500000,11.730000,7.010874,253400
2008-11-19,11.710000,11.710000,10.330000,10.330000,6.174111,402200
2008-11-20,10.160000,10.160000,9.250000,9.310000,5.564471,363900
2008-11-21,9.570000,9.590000,8.760000,9.590000,5.731823,471800
2008-11-24,9.740000,10.340000,9.720000,10.250000,6.126297,307700
2008-11-25,10.360000,10.690000,10.280000,10.690000,6.389278,283600
2008-11-26,10.730000,11.400000,10.500000,11.300000,6.753870,329200
2008-11-28,11.210000,11.630000,11.110000,11.630000,6.951104,122100
2008-12-01,11.500000,11.630000,10.600000,10.620000,6.347441,281000
2008-12-02,10.710000,11.110000,10.500000,11.050000,6.604445,242700
2008-12-03,10.800000,11.330000,10.750000,11.230000,6.712029,208300
2008-12-04,11.090000,11.680000,10.890000,11.170000,6.676166,187000
2008-12-05,11.120000,11.640000,10.650000,11.600000,6.933174,245900
2008-12-08,11.740000,12.220000,11.500000,12.040000,7.196157,236000
2008-12-09,11.990000,12.500000,11.650000,11.850000,7.082597,190000
2008-12-10,11.970000,12.400000,11.900000,12.340000,7.375462,204500
2008-12-11,11.980000,12.000000,10.910000,11.080000,6.821379,225000
2008-12-12,11.010000,11.990000,10.760000,11.730000,7.221552,276900
2008-12-15,11.690000,11.950000,11.450000,11.570000,7.123047,210100
2008-12-16,11.660000,11.900000,11.410000,11.870000,7.307744,167800
2008-12-17,11.740000,12.000000,11.500000,11.740000,7.227707,124000
2008-12-18,11.710000,11.970000,11.500000,11.780000,7.252336,276400
2008-12-19,11.860000,12.250000,11.460000,11.880000,7.313900,312200
2008-12-22,11.770000,11.910000,10.200000,10.510000,6.470460,445100
2008-12-23,10.670000,10.750000,10.420000,10.630000,6.544339,180200
2008-12-24,10.610000,10.750000,10.330000,10.370000,6.384269,97200
2008-12-26,10.450000,10.730000,10.300000,10.660000,6.562807,114300
2008-12-29,10.620000,10.730000,10.540000,10.640000,6.550494,141500
2008-12-30,10.700000,10.880000,10.640000,10.770000,6.630529,170100
2008-12-31,10.730000,11.110000,10.450000,11.080000,6.821379,290700
2009-01-02,11.010000,11.310000,10.960000,11.260000,6.932198,101100
2009-01-05,11.280000,11.420000,11.010000,11.390000,7.012230,167900
2009-01-06,11.440000,11.900000,11.410000,11.570000,7.123047,154900
2009-01-07,11.550000,11.570000,11.000000,11.100000,6.833693,180400
2009-01-08,11.110000,11.110000,10.800000,11.060000,6.809067,161700
2009-01-09,11.010000,11.140000,10.490000,10.510000,6.470460,239000
2009-01-12,10.660000,10.660000,10.300000,10.430000,6.421210,188200
2009-01-13,10.430000,10.490000,10.260000,10.330000,6.359644,161600
2009-01-14,10.300000,10.410000,10.010000,10.220000,6.291923,210300
2009-01-15,10.260000,10.560000,10.010000,10.520000,6.476618,184000
2009-01-16,10.610000,10.610000,10.050000,10.330000,6.359644,170700
2009-01-20,10.270000,10.330000,9.970000,9.970000,6.138011,199200
2009-01-21,10.030000,10.280000,10.000000,10.280000,6.328863,206000
2009-01-22,10.230000,10.230000,9.960000,10.010000,6.162637,151100
2009-01-23,9.940000,10.190000,9.940000,10.090000,6.211888,154400
2009-01-26,10.080000,10.260000,9.890000,10.030000,6.174950,132600
2009-01-27,9.930000,10.540000,9.930000,10.230000,6.298079,166300
2009-01-28,10.270000,10.370000,10.130000,10.200000,6.279610,478700
2009-01-29,10.250000,10.250000,9.700000,9.920000,6.107228,385700
2009-01-30,9.930000,10.040000,9.700000,9.740000,5.996411,281800
2009-02-02,9.550000,9.990000,9.320000,9.700000,5.971786,339900
2009-02-03,9.660000,9.850000,9.500000,9.810000,6.039505,204300
2009-02-04,9.780000,10.020000,9.650000,9.660000,5.947159,215500
2009-02-05,9.630000,9.630000,9.180000,9.360000,5.762465,386500
2009-02-06,9.320000,9.420000,9.200000,9.250000,5.694743,472000
2009-02-09,9.220000,9.310000,9.200000,9.250000,5.694743,392300
2009-02-10,9.230000,9.450000,9.050000,9.120000,5.614710,169100
2009-02-11,9.190000,9.400000,8.980000,9.240000,5.688587,274800
2009-02-12,9.140000,9.330000,9.050000,9.290000,5.719373,263100
2009-02-13,9.340000,9.400000,9.070000,9.240000,5.688587,411100
2009-02-17,9.000000,9.370000,9.000000,9.260000,5.700900,260200
2009-02-18,9.310000,9.600000,9.310000,9.490000,5.842501,271900
2009-02-19,9.500000,9.690000,9.400000,9.470000,5.830187,237200
2009-02-20,9.300000,9.750000,9.250000,9.540000,5.873282,284400
2009-02-23,9.580000,10.020000,9.270000,9.320000,5.737839,833100
2009-02-24,9.620000,9.790000,9.260000,9.730000,5.990256,234800
2009-02-25,9.570000,9.900000,9.270000,9.670000,5.953316,396200
2009-02-26,9.720000,10.250000,9.710000,9.910000,6.101073,255100
2009-02-27,9.710000,9.930000,9.550000,9.700000,5.971786,217300
2009-03-02,9.570000,9.750000,9.280000,9.300000,5.725527,287000
2009-03-03,9.420000,9.490000,9.020000,9.200000,5.663963,313200
2009-03-04,9.200000,9.640000,9.030000,9.450000,5.817873,239100
2009-03-05,9.280000,9.540000,9.160000,9.220000,5.676276,228700
2009-03-06,9.330000,9.550000,9.070000,9.530000,5.867126,417600
2009-03-09,9.460000,9.690000,9.200000,9.310000,5.731684,294200
2009-03-10,9.500000,10.250000,9.500000,10.210000,6.285767,465100
2009-03-11,10.020000,10.250000,9.620000,9.830000,6.273002,440500
2009-03-12,9.830000,10.120000,9.640000,10.110000,6.451684,299600
2009-03-13,10.190000,10.450000,10.100000,10.320000,6.585696,236500
2009-03-16,10.330000,10.810000,10.330000,10.380000,6.623985,191600
2009-03-17,10.350000,11.000000,10.350000,11.000000,7.019639,156000
2009-03-18,10.960000,11.190000,10.740000,11.020000,7.032400,206400
2009-03-19,11.010000,11.100000,10.520000,10.840000,6.917534,139300
2009-03-20,10.900000,10.960000,10.370000,10.720000,6.840955,283400
2009-03-23,10.800000,11.760000,10.800000,11.760000,7.504630,289300
2009-03-24,11.610000,11.760000,11.170000,11.250000,7.179176,177600
2009-03-25,11.300000,12.000000,11.300000,11.920000,7.606734,222100
2009-03-26,12.040000,12.220000,11.830000,12.080000,7.708839,258900
2009-03-27,11.920000,12.000000,11.730000,11.740000,7.491867,215200
2009-03-30,11.510000,11.680000,11.250000,11.460000,7.313187,177400
2009-03-31,11.610000,11.890000,11.480000,11.540000,7.364238,175700
2009-04-01,11.450000,12.060000,11.260000,11.990000,7.651404,183900
2009-04-02,12.070000,12.600000,11.980000,12.460000,7.951335,301100
2009-04-03,12.480000,12.990000,12.300000,12.960000,8.270411,246800
2009-04-06,12.850000,12.850000,11.960000,12.060000,7.696079,331200
2009-04-07,11.920000,12.130000,11.610000,11.760000,7.504630,188900
2009-04-08,11.870000,11.890000,11.370000,11.490000,7.332332,282900
2009-04-09,11.660000,11.880000,11.560000,11.710000,7.472723,148000
2009-04-13,11.680000,11.780000,11.350000,11.580000,7.389764,218900
2009-04-14,11.460000,11.590000,11.020000,11.270000,7.191938,195000
2009-04-15,11.230000,11.250000,10.910000,11.080000,7.070689,234500
2009-04-16,11.130000,11.190000,10.960000,11.150000,7.115360,321400
2009-04-17,11.190000,11.220000,10.820000,10.990000,7.013255,247400
2009-04-20,10.820000,10.920000,10.340000,10.450000,6.668656,209700
2009-04-21,10.450000,10.980000,10.430000,10.860000,6.930296,172200
2009-04-22,10.810000,11.100000,10.730000,10.890000,6.949442,228400
2009-04-23,10.890000,11.050000,10.750000,10.950000,6.987730,233700
2009-04-24,10.940000,11.210000,10.720000,10.940000,6.981346,196500
2009-04-27,10.780000,10.880000,10.530000,10.620000,6.777142,185500
2009-04-28,10.560000,10.900000,10.540000,10.610000,6.770760,182900
2009-04-29,10.660000,11.080000,10.660000,10.890000,6.949442,132600
2009-04-30,10.960000,11.060000,10.700000,10.700000,6.828193,202400
2009-05-01,10.700000,11.050000,10.670000,10.810000,6.898389,221200
2009-05-04,10.830000,11.290000,10.830000,11.290000,7.204701,167000
2009-05-05,11.260000,11.510000,11.070000,11.470000,7.319568,171400
2009-05-06,11.550000,11.760000,11.500000,11.720000,7.479104,219600
2009-05-07,11.990000,11.990000,10.900000,11.000000,7.019639,335400
2009-05-08,11.220000,11.650000,11.180000,11.650000,7.434433,298100
2009-05-11,11.470000,11.470000,11.140000,11.280000,7.198318,197700
2009-05-12,11.310000,11.350000,11.080000,11.280000,7.198318,156000
2009-05-13,11.170000,11.300000,11.020000,11.040000,7.045163,147900
2009-05-14,11.050000,11.380000,11.040000,11.350000,7.242989,202900
2009-05-15,11.350000,11.490000,11.220000,11.290000,7.204701,109900
2009-05-18,11.310000,11.860000,11.240000,11.850000,7.562066,198000
2009-05-19,11.840000,11.840000,11.500000,11.690000,7.459960,190100
2009-05-20,11.840000,11.930000,11.700000,11.740000,7.491867,141800
2009-05-21,11.630000,11.930000,11.510000,11.910000,7.600351,161600
2009-05-22,11.940000,11.990000,11.750000,11.790000,7.523776,95800
2009-05-26,11.800000,12.380000,11.740000,12.350000,7.881137,186500
2009-05-27,12.290000,12.290000,12.050000,12.160000,7.759891,116500
2009-05-28,12.250000,12.300000,11.900000,12.230000,7.804560,93700
2009-05-29,12.260000,12.480000,12.120000,12.480000,7.964095,125300
2009-06-01,12.550000,12.930000,12.550000,12.900000,8.232121,171900
2009-06-02,12.780000,13.200000,12.780000,13.030000,8.315080,224100
2009-06-03,12.950000,13.070000,12.900000,13.070000,8.340605,223800
2009-06-04,13.100000,13.600000,13.100000,13.490000,8.608628,159000
2009-06-05,13.650000,13.950000,13.520000,13.890000,8.863889,196600
2009-06-08,13.900000,14.250000,13.810000,14.020000,8.946844,190000
2009-06-09,14.050000,14.190000,13.840000,13.850000,8.838361,392800
2009-06-10,14.000000,14.040000,13.800000,14.010000,8.940467,233000
2009-06-11,13.690000,13.830000,13.500000,13.520000,8.855317,144300
2009-06-12,13.460000,13.590000,13.140000,13.590000,8.901169,121400
2009-06-15,13.500000,13.550000,12.900000,13.060000,8.554029,168400
2009-06-16,13.130000,13.240000,12.180000,12.600000,8.252739,329600
2009-06-17,12.610000,13.030000,12.600000,12.710000,8.324786,136400
2009-06-18,12.750000,13.020000,12.650000,12.880000,8.436132,100600
2009-06-19,13.010000,13.150000,12.390000,12.420000,8.134844,237800
2009-06-22,12.380000,12.530000,12.240000,12.240000,8.016947,114600
2009-06-23,12.360000,12.530000,12.070000,12.150000,7.957998,93700
2009-06-24,12.280000,12.500000,12.150000,12.210000,7.997295,132100
2009-06-25,12.160000,12.610000,12.150000,12.580000,8.239639,138800
2009-06-26,12.460000,12.940000,12.310000,12.880000,8.436132,392600
2009-06-29,12.880000,13.000000,12.530000,12.850000,8.416483,151300
2009-06-30,12.900000,12.980000,12.270000,12.560000,8.226540,378400
2009-07-01,12.790000,13.000000,12.630000,12.740000,8.344436,126800
2009-07-02,12.500000,12.570000,12.110000,12.110000,7.931797,104700
2009-07-06,12.190000,12.300000,12.000000,12.150000,7.957998,102800
