Date,Open,High,Low,Close,AdjClose,Volume
2008-11-03,22.330000,23.309999,21.600000,22.170000,21.186621,255800
2008-11-04,23.520000,23.980000,21.600000,22.360001,21.368193,230700
2008-11-05,21.379999,22.330000,20.330000,20.570000,19.657587,254100
2008-11-06,20.090000,20.879999,18.410000,18.559999,17.736740,186200
2008-11-07,19.370001,19.469999,17.760000,18.610001,17.784534,163800
2008-11-10,19.389999,20.070000,18.170000,18.410000,17.593397,288200
2008-11-11,18.510000,19.190001,17.480000,18.209999,17.402271,216500
2008-11-12,18.080000,18.080000,16.500000,16.620001,15.882797,291200
2008-11-13,16.920000,19.080000,15.930000,18.900000,18.061663,246800
2008-11-14,18.540001,18.709999,16.809999,16.900000,16.150375,208300
2008-11-17,16.680000,18.070000,16.389999,17.139999,16.379734,362600
2008-11-18,17.370001,17.870001,16.110001,16.690001,15.949691,284100
2008-11-19,15.950000,16.930000,14.260000,14.340000,13.703929,208100
2008-11-20,14.170000,14.680000,12.000000,12.120000,11.582401,351600
2008-11-21,12.430000,13.740000,12.000000,13.670000,13.063645,380100
2008-11-24,14.120000,16.120001,13.840000,15.570000,14.879371,349800
2008-11-25,15.750000,16.000000,14.290000,15.960000,15.252074,258400
2008-11-26,15.500000,18.049999,15.380000,17.510000,16.785913,296500
2008-11-28,17.250000,17.990000,16.690001,17.500000,16.776323,70300
2008-12-01,17.059999,17.059999,14.390000,14.520000,13.919554,236000
2008-12-02,14.940000,15.930000,14.940000,15.650000,15.002824,357800
2008-12-03,15.040000,16.000000,14.510000,15.220000,14.590603,214300
2008-12-04,14.790000,16.059999,14.690000,15.220000,14.590603,318200
2008-12-05,14.930000,15.410000,13.690000,15.190000,14.561845,303200
2008-12-08,17.030001,19.450001,16.740000,19.020000,18.233458,580100
2008-12-09,18.379999,22.370001,18.360001,21.000000,20.131584,508400
2008-12-10,21.580000,22.530001,20.709999,21.570000,20.678015,375100
2008-12-11,21.250000,22.920000,20.530001,21.209999,20.332899,372300
2008-12-12,20.410000,21.690001,19.760000,20.889999,20.026133,241200
2008-12-15,21.150000,21.930000,19.830000,19.889999,19.067482,237100
2008-12-16,19.420000,21.709999,19.420000,21.620001,20.725943,258900
2008-12-17,21.270000,22.690001,21.160000,22.180000,21.262794,323300
2008-12-18,22.520000,22.559999,19.600000,20.250000,19.412603,218800
2008-12-19,20.639999,20.719999,19.010000,19.280001,18.482716,205500
2008-12-22,19.250000,19.250000,16.750000,17.559999,16.833838,164500
2008-12-23,17.629999,18.340000,17.559999,17.680000,16.948875,184900
2008-12-24,17.780001,18.250000,17.469999,17.900000,17.159777,56400
2008-12-26,17.700001,18.280001,17.180000,18.090000,17.341915,70800
2008-12-29,18.280001,18.570000,17.270000,17.629999,16.900946,147600
2008-12-30,17.799999,19.120001,17.469999,18.980000,18.195126,209400
2008-12-31,19.000000,20.500000,19.000000,20.370001,19.527637,316200
2009-01-02,20.500000,22.170000,20.150000,21.680000,20.783463,202600
2009-01-05,21.410000,23.040001,21.350000,22.290001,21.368238,326800
2009-01-06,22.540001,23.620001,22.280001,23.270000,22.307714,368300
2009-01-07,22.480000,23.090000,21.750000,21.840000,20.936850,254100
2009-01-08,21.600000,22.520000,21.129999,22.480000,21.550381,144400
2009-01-09,22.469999,22.520000,20.629999,20.809999,19.949442,193100
2009-01-12,20.870001,20.870001,18.010000,18.410000,17.648689,181500
2009-01-13,18.190001,19.370001,17.770000,18.590000,17.821255,144800
2009-01-14,18.230000,18.370001,17.100000,17.240000,16.527071,99100
2009-01-15,17.340000,18.139999,16.070000,17.980000,17.236469,253400
2009-01-16,18.340000,18.719999,16.730000,17.680000,16.948875,152900
2009-01-20,17.250000,17.250000,15.550000,15.860000,15.204139,225900
2009-01-21,16.090000,16.090000,15.400000,15.880000,15.223311,189800
2009-01-22,15.530000,16.000000,15.020000,15.430000,14.791920,122100
2009-01-23,15.100000,16.219999,14.760000,15.550000,14.906959,318100
2009-01-26,15.680000,16.750000,15.120000,15.200000,14.571435,155900
2009-01-27,15.500000,16.730000,15.350000,16.500000,15.817674,159300
2009-01-28,16.930000,18.160000,16.850000,18.129999,17.380266,166600
2009-01-29,17.809999,18.030001,17.510000,17.620001,16.891359,137100
2009-01-30,17.120001,17.129999,15.660000,15.870000,15.213725,245100
2009-02-02,15.610000,15.860000,14.770000,15.690000,15.041167,208300
2009-02-03,15.810000,16.790001,15.370000,16.610001,15.923121,166100
2009-02-04,16.530001,17.520000,16.530001,17.080000,16.373686,133100
2009-02-05,16.780001,17.809999,16.780001,17.629999,16.900946,82700
2009-02-06,17.660000,19.860001,17.660000,18.940001,18.156778,308200
2009-02-09,18.870001,19.709999,18.540001,19.080000,18.290983,141600
2009-02-10,18.879999,19.850000,16.750000,17.120001,16.412037,403900
2009-02-11,17.320000,17.700001,16.760000,17.450001,16.728388,136800
2009-02-12,17.049999,17.049999,15.060000,16.280001,15.606767,274300
2009-02-13,16.280001,18.500000,16.100000,16.750000,16.057333,427000
2009-02-17,16.030001,16.959999,15.250000,15.360000,14.724816,314500
2009-02-18,15.630000,15.700000,14.550000,14.860000,14.245493,313200
2009-02-19,15.310000,15.850000,15.130000,15.350000,14.715227,190800
2009-02-20,14.930000,14.940000,14.080000,14.450000,13.852447,323400
2009-02-23,14.760000,14.830000,12.560000,12.640000,12.117301,304900
2009-02-24,12.960000,14.010000,12.960000,13.910000,13.334778,316900
2009-02-25,13.950000,14.070000,13.200000,13.250000,12.702069,199500
2009-02-26,13.450000,13.830000,12.810000,12.820000,12.336403,186300
2009-02-27,12.600000,13.060000,12.340000,12.380000,11.913000,179800
2009-03-02,11.870000,12.300000,10.770000,10.810000,10.402225,267100
2009-03-03,10.960000,11.290000,10.540000,10.750000,10.344490,291800
2009-03-04,11.260000,12.030000,11.090000,11.610000,11.172048,251700
2009-03-05,11.300000,11.310000,10.600000,10.930000,10.517700,196500
2009-03-06,11.060000,11.360000,10.440000,11.210000,10.787136,228500
2009-03-09,10.910000,11.740000,10.790000,11.140000,10.719780,143000
2009-03-10,11.530000,13.990000,11.430000,13.850000,13.327551,332300
2009-03-11,15.300000,15.540000,13.120000,13.500000,12.990753,450700
2009-03-12,13.380000,13.740000,12.560000,13.630000,13.115849,219700
2009-03-13,13.800000,14.090000,12.820000,12.930000,12.442260,178800
2009-03-16,13.110000,13.220000,12.360000,12.430000,11.961120,305500
2009-03-17,12.190000,12.420000,11.100000,11.570000,11.133561,386500
2009-03-18,11.510000,13.930000,11.020000,13.740000,13.221700,385700
2009-03-19,13.920000,15.290000,13.670000,14.800000,14.241714,305500
2009-03-20,14.890000,14.890000,13.260000,13.680000,13.163964,241200
2009-03-23,14.260000,15.810000,14.060000,15.700000,15.107765,232900
2009-03-24,14.720000,16.629999,14.670000,16.059999,15.454185,304800
2009-03-25,16.980000,16.980000,15.290000,16.290001,15.675508,207800
2009-03-26,16.709999,17.500000,16.309999,17.350000,16.695528,197900
2009-03-27,17.049999,17.490000,16.610001,17.180000,16.531939,191300
2009-03-30,16.600000,16.600000,14.580000,15.180000,14.607380,484600
2009-03-31,15.510000,15.850000,14.710000,15.170000,14.597760,300400
2009-04-01,14.850000,16.330000,14.450000,16.170000,15.560036,204100
2009-04-02,16.790001,18.700001,16.600000,17.719999,17.051565,304000
2009-04-03,17.730000,19.040001,17.129999,18.980000,18.264040,352700
2009-04-06,18.700001,18.780001,17.590000,18.299999,17.609684,242500
2009-04-07,17.799999,17.799999,16.000000,16.030001,15.425319,242100
2009-04-08,16.379999,16.799999,16.000000,16.730000,16.098906,188400
2009-04-09,17.350000,18.629999,17.350000,18.549999,17.850256,203800
2009-04-13,18.110001,19.709999,17.980000,19.469999,18.735556,234500
2009-04-14,19.100000,20.180000,18.350000,19.360001,18.629711,293600
2009-04-15,19.170000,19.350000,18.350000,19.309999,18.581587,188000
2009-04-16,19.549999,20.330000,19.020000,20.030001,19.274433,149500
2009-04-17,20.139999,21.110001,19.600000,21.030001,20.236712,167200
2009-04-20,20.219999,20.940001,20.059999,20.350000,19.582359,397800
2009-04-21,19.850000,21.340000,19.770000,21.080000,20.284821,363300
2009-04-22,20.660000,22.160000,20.139999,21.299999,20.496527,315800
2009-04-23,21.299999,21.540001,19.620001,20.010000,19.255190,263100
2009-04-24,20.070000,21.840000,19.900000,21.290001,20.486902,357900
2009-04-27,20.799999,20.799999,19.219999,19.610001,18.870275,196000
2009-04-28,19.309999,20.290001,19.010000,19.879999,19.130085,247100
2009-04-29,17.340000,19.190001,17.200001,17.430000,16.772503,649500
2009-04-30,17.540001,19.219999,17.299999,18.340000,17.648186,670000
2009-05-01,18.219999,21.400000,18.200001,20.799999,20.015387,699700
2009-05-04,21.370001,22.500000,20.980000,21.570000,20.756340,527400
2009-05-05,21.400000,21.549999,20.260000,21.000000,20.207844,474000
2009-05-06,21.459999,21.670000,20.070000,20.530001,19.755575,374000
2009-05-07,20.490000,20.780001,18.760000,19.219999,18.494987,338900
2009-05-08,19.950001,20.330000,19.330000,20.320000,19.553490,137100
2009-05-11,19.719999,19.719999,18.400000,18.820000,18.110073,170400
2009-05-12,19.190001,19.330000,17.750000,18.260000,17.571198,175300
2009-05-13,17.750000,17.760000,16.459999,16.510000,15.887208,180800
2009-05-14,16.540001,17.110001,16.000000,16.690001,16.060421,220800
2009-05-15,16.510000,17.070000,16.000000,16.309999,15.694754,167100
2009-05-18,16.459999,17.459999,16.450001,17.000000,16.358723,186800
2009-05-19,17.190001,18.719999,17.030001,18.350000,17.657797,310400
2009-05-20,18.650000,19.549999,18.020000,18.160000,17.474968,229400
2009-05-21,17.750000,17.959999,16.969999,17.200001,16.551184,145000
2009-05-22,17.400000,17.860001,16.299999,16.360001,15.742866,166600
2009-05-26,16.360001,17.280001,16.250000,16.950001,16.310614,189300
2009-05-27,16.750000,18.250000,16.750000,16.930000,16.291367,210000
2009-05-28,17.410000,17.969999,16.969999,17.639999,16.994659,170900
2009-05-29,18.080000,18.490000,18.000000,18.400000,17.726856,188200
2009-06-01,18.549999,19.900000,18.549999,19.690001,18.969664,278700
2009-06-02,19.860001,20.400000,19.530001,20.240000,19.499542,230500
2009-06-03,20.030001,20.030001,17.860001,18.309999,17.640148,284000
2009-06-04,18.370001,19.959999,17.580000,19.620001,18.902222,260300
2009-06-05,20.000000,20.500000,19.350000,19.809999,19.085283,459600
2009-06-08,19.459999,19.780001,18.690001,18.990000,18.295273,201700
2009-06-09,19.070000,20.450001,19.070000,20.320000,19.576616,247900
2009-06-10,22.100000,24.500000,22.100000,24.270000,23.382113,1138100
2009-06-11,24.320000,26.910000,24.209999,25.559999,24.624922,962500
2009-06-12,25.180000,27.250000,24.440001,26.379999,25.414919,721900
2009-06-15,25.049999,25.709999,23.799999,24.580000,23.680775,523700
2009-06-16,25.240000,26.320000,24.070000,24.219999,23.333935,433800
2009-06-17,25.830000,25.930000,24.250000,24.760000,23.854181,574400
2009-06-18,25.000000,25.740000,24.139999,25.160000,24.239552,447300
2009-06-19,25.799999,26.940001,25.450001,25.879999,24.933212,437000
2009-06-22,25.490000,25.490000,23.680000,23.990000,23.112356,370900
2009-06-23,24.110001,24.840000,22.950001,24.270000,23.382113,399200
2009-06-24,24.639999,25.500000,24.010000,24.270000,23.382113,291000
2009-06-25,23.950001,25.620001,23.730000,25.570000,24.634550,242200
