Passive_Agent_Net_Worth,	 Passive_Agent_Shares,	active_0Net_Worth,	 active_0Shares,	 active_1Net_Worth,	 active_1Shares,	 active_2Net_Worth,	 active_2Shares,	 active_3Net_Worth,	 active_3Shares,	 active_4Net_Worth,	 active_4Shares,	 active_5Net_Worth,	 active_5Shares,	 active_6Net_Worth,	 active_6Shares,	 active_7Net_Worth,	 active_7Shares,	 active_8Net_Worth,	 active_8Shares,	 active_9Net_Worth,	 active_9Shares,	 active_10Net_Worth,	 active_10Shares,	 active_11Net_Worth,	 active_11Shares,	 active_12Net_Worth,	 active_12Shares,	 active_13Net_Worth,	 active_13Shares,	 active_14Net_Worth,	 active_14Shares,	 active_15Net_Worth,	 active_15Shares,	 active_16Net_Worth,	 active_16Shares,	 active_17Net_Worth,	 active_17Shares,	 active_18Net_Worth,	 active_18Shares,	 active_19Net_Worth,	 active_19Shares,	 
100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 
100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 
100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 
100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 
100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 
100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 
100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 
100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 
100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 100000.0,	 0,	 
100040.05602313463,	 56,	 99982.82368018618,	 14,	 100040.32458317609,	 26,	 99991.23883685762,	 2,	 99994.61753658041,	 37,	 99882.01948908971,	 47,	 100000.0,	 0,	 99997.0482591806,	 55,	 100048.0165270108,	 35,	 99962.581774289,	 42,	 100057.823947614,	 41,	 99993.8734164141,	 11,	 99927.50143446523,	 32,	 99963.50498415658,	 22,	 99952.72766807317,	 17,	 100056.53915494362,	 26,	 99935.64561561724,	 37,	 100011.78017803926,	 45,	 100016.83041278704,	 30,	 100045.10321750442,	 41,	 99972.66897629175,	 49,	 
